	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
4	anim-anim	waiter	near	vet	hates	boxing	GSLS_C_sing_syntactic	The waiter that the vet hates sits.	0	154954539	3340926	2597895	2416713	2262574	4	6	3	5	6	syntactic
1	anim-anim	vet	by	barber	hates	cycling	GSLS_sing_semantic	The vet by the barber hates cycling.	0	4703106084	2597895	4668021	2416713	2334761	2	3	6	5	7	semantic
0	anim-anim	pilots	by	builder	prefer	cycling	GSLD_C_plur_syntactic	The pilots that the builder prefer sit.	1	4703106084	5455700	4915470	20278168	2334761	2	6	7	6	7	syntactic
2	inanim-inanim	bus	beside	scooter	rusts	suddenly	GSLS_sing_semantic	The bus beside the scooter rusts suddenly.	0	29718597	19370874	405037	219876	58025537	6	3	7	5	8	semantic
4	anim-anim	builders	beside	pilot	prefer	skiing	GSLD_plur_syntactic	The builders beside the pilot prefer skiing.	0	29718597	5454568	16262831	20278168	1934331	6	8	5	6	6	syntactic
5	anim-anim	waiter	near	nurse	love	cycling	GDLD_C_sing_syntactic	The waiter that the nurse love prays.	1	154954539	3340926	23875250	210137973	2334761	4	6	5	4	7	syntactic
7	anim-anim	baker	beside	bankers	loves	painting	GSLD_sing_syntactic	The baker beside the bankers loves painting.	0	29718597	13610150	6179440	12028067	32738623	6	5	7	5	8	syntactic
5	anim-anim	chefs	beside	author	hates	skating	GDLS_plur_syntactic	The chefs beside the author hates skating.	1	29718597	752773	99092074	2416713	1784648	6	5	6	5	7	syntactic
0	anim-anim	waiters	near	nurses	loves	shopping	GDLD_C_plur_syntactic	The waiters that the nurses loves arrive.	1	154954539	1363954	14176931	12028067	11206466	4	7	6	5	8	syntactic
2	anim-anim	farmers	beside	athletes	likes	driving	GDLD_plur_syntactic	The farmers beside the athletes likes driving.	1	29718597	33753767	4726603	9285296	25592961	6	7	8	5	7	syntactic
9	inanim-inanim	cars	beside	scooters	rust	abruptly	GSLS_plur_semantic	The cars beside the scooters rust abruptly.	0	29718597	24371897	182717	3598446	7262021	6	4	8	4	8	semantic
0	anim-inanim	farmer	near	scooter	rusts	suddenly	GDLS_sing_semantic	The farmer near the scooter rusts suddenly.	1	154954539	20568429	405037	219876	58025537	4	6	7	5	8	semantic
2	anim-anim	actor	by	plumber	avoid	fencing	GDLD_sing_syntactic	The actor by the plumber avoid fencing.	1	4703106084	14665285	734834	60713817	1887055	2	5	7	5	7	syntactic
3	anim-anim	builder	by	farmers	prefers	acting	GSLD_C_sing_syntactic	The builder that the farmers prefers arrives.	1	4703106084	4915470	33753767	4149558	38536231	2	7	7	7	6	syntactic
5	anim-anim	actors	beside	nurses	avoid	sailing	GSLS_plur_syntactic	The actors beside the nurses avoid sailing.	0	29718597	18120032	14176931	60713817	8731451	6	6	6	5	7	syntactic
0	anim-anim	baker	by	waiter	malfunctions	suddenly	GDLD_sing_semantic	The baker by the waiter malfunctions suddenly.	1	4703106084	13610150	3340926	327422	58025537	2	5	6	12	8	semantic
4	anim-anim	athletes	beside	pilots	like	skating	GSLS_plur_syntactic	The athletes beside the pilots like skating.	0	29718597	4726603	5455700	709849832	1784648	6	8	6	4	7	syntactic
0	anim-anim	vet	by	lawyers	like	shopping	GDLS_sing_syntactic	The vet by the lawyers like shopping.	1	4703106084	2597895	15702570	709849832	11206466	2	3	7	4	8	syntactic
3	anim-anim	baker	near	actor	fears	farming	GSLS_sing_syntactic	The baker near the actor fears farming.	0	154954539	13610150	14665285	17721106	15602571	4	5	5	5	7	syntactic
1	inanim-anim	buses	near	lawyers	dislike	cooking	GDLS_plur_semantic	The buses near the lawyers dislike cooking.	1	154954539	4213326	15702570	6703610	13672366	4	5	7	7	7	semantic
1	anim-anim	actor	by	vet	dislikes	hunting	GSLS_sing_syntactic	The actor by the vet dislikes hunting.	0	4703106084	14665285	2597895	1451937	19801295	2	5	3	8	7	syntactic
8	anim-anim	actor	by	bankers	like	studying	GDLS_C_sing_syntactic	The actor that the bankers like dies.	0	4703106084	14665285	6179440	709849832	19754110	2	5	7	4	8	syntactic
2	anim-anim	judges	near	tailor	detest	climbing	GSLD_plur_syntactic	The judges near the tailor detest climbing.	0	154954539	24677643	3371396	740903	7755370	4	6	6	6	8	syntactic
4	anim-anim	actors	near	chefs	fears	gambling	GDLD_C_plur_syntactic	The actors that the chefs fears arrive.	1	154954539	18120032	752773	17721106	6130169	4	6	5	5	8	syntactic
4	anim-anim	builders	beside	baker	loves	skiing	GDLS_C_plur_syntactic	The builders that the baker loves die.	0	29718597	5454568	13610150	12028067	1934331	6	8	5	5	6	syntactic
1	anim-anim	plumber	by	actors	detest	cycling	GDLS_sing_syntactic	The plumber by the actors detest cycling.	1	4703106084	734834	18120032	740903	2334761	2	7	6	6	7	syntactic
9	inanim-anim	trucks	near	plumbers	rust	suddenly	GSLD_plur_semantic	The trucks near the plumbers rust suddenly.	0	154954539	6808013	543869	3598446	58025537	4	6	8	4	8	semantic
5	anim-anim	bakers	beside	tailors	prefers	fishing	GDLD_plur_syntactic	The bakers beside the tailors prefers fishing.	1	29718597	997597	1121681	4149558	21745307	6	6	7	7	7	syntactic
1	anim-anim	painters	by	banker	fears	boxing	GDLS_C_plur_syntactic	The painters that the banker fears sit.	0	4703106084	7084827	5135467	17721106	2262574	2	8	6	5	6	syntactic
7	anim-inanim	bankers	beside	buses	leak	suddenly	GDLS_plur_semantic	The bankers beside the buses leak suddenly.	1	29718597	6179440	4213326	3272091	58025537	6	7	5	4	8	semantic
4	anim-inanim	vets	by	cars	avoid	acting	GSLD_plur_semantic	The vets by the cars avoid acting.	0	4703106084	262330	24371897	60713817	38536231	2	4	4	5	6	semantic
0	anim-anim	judge	by	painter	fear	yachting	GDLD_sing_syntactic	The judge by the painter fear yachting.	1	4703106084	63704000	13065194	83025936	382785	2	5	7	4	8	syntactic
0	anim-anim	judge	beside	baker	avoid	studying	GDLD_C_sing_syntactic	The judge that the baker avoid prays.	1	29718597	63704000	13610150	60713817	19754110	6	5	5	5	8	syntactic
5	anim-anim	doctors	by	actors	leak	suddenly	GDLD_plur_semantic	The doctors by the actors leak suddenly.	1	4703106084	19521968	18120032	3272091	58025537	2	7	6	4	8	semantic
9	anim-anim	farmer	near	doctors	detests	skiing	GSLD_C_sing_syntactic	The farmer that the doctors detests dies.	1	154954539	20568429	19521968	181255	1934331	4	6	7	7	6	syntactic
0	inanim-inanim	vans	near	scooters	dislike	climbing	GDLD_plur_semantic	The vans near the scooters dislike climbing.	1	154954539	963840	182717	6703610	7755370	4	4	8	7	8	semantic
6	anim-anim	authors	near	farmers	prefer	studying	GSLS_plur_semantic	The authors near the farmers prefer studying.	0	154954539	42845288	33753767	20278168	19754110	4	7	7	6	8	semantic
2	anim-anim	lawyer	beside	builders	dislikes	painting	GSLD_sing_syntactic	The lawyer beside the builders dislikes painting.	0	29718597	21493788	5454568	1451937	32738623	6	6	8	8	8	syntactic
4	anim-anim	builders	beside	pilot	prefers	skiing	GDLS_plur_syntactic	The builders beside the pilot prefers skiing.	1	29718597	5454568	16262831	4149558	1934331	6	8	5	7	6	syntactic
6	inanim-anim	van	beside	banker	hates	cycling	GDLS_sing_semantic	The van beside the banker hates cycling.	1	29718597	54213864	5135467	2416713	2334761	6	3	6	5	7	semantic
6	anim-inanim	athlete	by	scooter	avoids	shopping	GSLD_sing_semantic	The athlete by the scooter avoids shopping.	0	4703106084	3419291	405037	3608938	11206466	2	7	7	6	8	semantic
3	anim-anim	chefs	by	actor	like	camping	GSLD_C_plur_syntactic	The chefs that the actor like sit.	1	4703106084	752773	14665285	709849832	3430548	2	5	5	4	7	syntactic
6	anim-anim	judges	by	waiters	like	climbing	GSLS_C_plur_syntactic	The judges that the waiters like arrive.	0	4703106084	24677643	1363954	709849832	7755370	2	6	7	4	8	syntactic
3	anim-anim	plumber	near	farmers	detest	gambling	GDLS_C_sing_syntactic	The plumber that the farmers detest dies.	0	154954539	734834	33753767	740903	6130169	4	7	7	6	8	syntactic
7	inanim-inanim	van	by	scooter	likes	dancing	GDLD_sing_semantic	The van by the scooter likes dancing.	1	4703106084	54213864	405037	9285296	15565681	2	3	7	5	7	semantic
8	anim-anim	banker	near	judge	loves	cooking	GSLS_C_sing_syntactic	The banker that the judge loves sits.	0	154954539	5135467	63704000	12028067	13672366	4	6	5	5	7	syntactic
3	inanim-anim	tractor	beside	doctor	leaks	abruptly	GSLD_sing_semantic	The tractor beside the doctor leaks abruptly.	0	29718597	3282135	52110730	1935324	7262021	6	7	6	5	8	semantic
5	anim-anim	tailors	beside	nurses	love	studying	GSLS_C_plur_syntactic	The tailors that the nurses love sit.	0	29718597	1121681	14176931	210137973	19754110	6	7	6	4	8	syntactic
