	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
1437289	inanim-anim	van	by	teacher	loves	skating	GDLS_sing_semantic	The van by the teacher loves skating.	1	4703106084	54213864	74147301	12028067	1784648	2	3	7	5	7	semantic	0	0
1487987	anim-anim	bakers	by	bankers	honk	once	GDLD_plur_semantic	The bakers by the bankers honk once.	1	4703106084	997597	6179440	186601	267334111	2	6	7	4	4	semantic	0	0
1327982	inanim-inanim	cars	beside	trucks	brake	abruptly	GSLS_plur_semantic	The cars beside the trucks brake abruptly.	0	29718597	24371897	6808013	4685005	7262021	6	4	6	5	8	semantic	0	0
1451260	inanim-anim	van	near	actor	loves	acting	GDLS_sing_semantic	The van near the actor loves acting.	1	154954539	54213864	14665285	12028067	38536231	4	3	5	5	6	semantic	0	0
8872490	anim-anim	vet	beside	lawyer	like	hunting	GDLD_sing_syntactic	The vet beside the lawyer like hunting.	1	29718597	2597895	21493788	709849832	19801295	6	3	6	4	7	syntactic	0	34
1462560	inanim-anim	trucks	near	bankers	hate	climbing	GDLS_plur_semantic	The trucks near the bankers hate climbing.	1	154954539	6808013	6179440	16538862	7755370	4	6	7	4	8	semantic	0	0
5214801	anim-anim	bankers	that	vet	like	run	GSLD_C_plur_syntactic	The bankers that the vet like run.	1	8000768228	6179440	2597895	709849832	109873076	4	7	3	4	3	syntactic	0	0
3058178	anim-anim	painter	beside	farmers	knows	spanish	GSLD_sing_syntactic	The painter beside the farmers knows Spanish.	0	29718597	13065194	33753767	50729807	51657368	6	7	7	5	7	syntactic	0	0
8637942	anim-anim	baker	beside	teacher	dislike	sailing	GDLD_sing_syntactic	The baker beside the teacher dislike sailing.	1	29718597	13610150	74147301	6703610	8731451	6	5	7	7	7	syntactic	0	0
7668464	anim-anim	bankers	beside	plumber	admires	beauty	GDLS_plur_syntactic	The bankers beside the plumber admires beauty.	1	29718597	6179440	734834	929819	48841623	6	7	7	7	6	syntactic	0	0
2172545	anim-anim	banker	that	tailor	dislikes	swims	GSLS_C_sing_syntactic	The banker that the tailor dislikes swims.	0	8000768228	5135467	3371396	1451937	692721	4	6	6	8	5	syntactic	0	0
1328230	inanim-inanim	taxis	by	trucks	brake	abruptly	GSLS_plur_semantic	The taxis by the trucks brake abruptly.	0	4703106084	1073931	6808013	4685005	7262021	2	5	6	5	8	semantic	0	0
7810279	anim-anim	nurses	that	tailor	admires	sneeze	GDLS_C_plur_syntactic	The nurses that the tailor admires sneeze.	0	8000768228	14176931	3371396	929819	504411	4	6	6	7	6	syntactic	0	0
7938629	anim-anim	actors	that	waiter	knows	study	GDLS_C_plur_syntactic	The actors that the waiter knows study.	0	8000768228	18120032	3340926	50729807	251146114	4	6	6	5	5	syntactic	0	0
5916817	anim-anim	barber	that	teachers	hate	prays	GDLS_C_sing_syntactic	The barber that the teachers hate prays.	0	8000768228	4668021	73279702	16538862	1506735	4	6	8	4	5	syntactic	0	0
1352463	anim-inanim	lawyer	beside	truck	loves	camping	GSLD_sing_semantic	The lawyer beside the truck loves camping.	0	29718597	21493788	14274010	12028067	3430548	6	6	5	5	7	semantic	0	0
8913121	anim-anim	farmer	that	actor	like	sits	GDLD_C_sing_syntactic	The farmer that the actor like sits.	1	8000768228	20568429	14665285	709849832	8154939	4	6	5	4	4	syntactic	0	0
1571937	inanim-inanim	taxi	near	crane	hates	skiing	GDLD_sing_semantic	The taxi near the crane hates skiing.	1	154954539	4478068	5664326	2416713	1934331	4	4	5	5	6	semantic	0	0
527502	anim-anim	painter	near	teacher	admires	humility	GSLS_sing_syntactic	The painter near the teacher admires humility.	0	154954539	13065194	74147301	929819	5981773	4	7	7	7	8	syntactic	0	0
6545820	anim-anim	nurse	by	bankers	know	arabic	GDLS_sing_syntactic	The nurse by the bankers know Arabic.	1	4703106084	23875250	6179440	405542218	9338211	2	5	7	4	6	syntactic	0	0
7622142	anim-anim	painter	by	plumbers	hate	camping	GDLS_sing_syntactic	The painter by the plumbers hate camping.	1	4703106084	13065194	543869	16538862	3430548	2	7	8	4	7	syntactic	0	0
3919784	anim-anim	doctor	near	chefs	loves	acting	GSLD_sing_syntactic	The doctor near the chefs loves acting.	0	154954539	52110730	752773	12028067	38536231	4	6	5	5	6	syntactic	0	0
2370196	anim-anim	athletes	beside	waiters	know	french	GSLS_plur_syntactic	The athletes beside the waiters know French.	0	29718597	4726603	1363954	405542218	154091688	6	8	7	4	6	syntactic	0	0
10611789	anim-anim	actor	that	waiter	admire	dies	GDLD_C_sing_syntactic	The actor that the waiter admire dies.	1	8000768228	14665285	3340926	6461497	11810645	4	5	6	6	4	syntactic	0	0
539729	anim-anim	bakers	that	lawyers	like	run	GSLS_C_plur_syntactic	The bakers that the lawyers like run.	0	8000768228	997597	15702570	709849832	109873076	4	6	7	4	3	syntactic	0	78
10172612	anim-anim	nurses	beside	pilots	dislikes	gambling	GDLD_plur_syntactic	The nurses beside the pilots dislikes gambling.	1	29718597	14176931	5455700	1451937	6130169	6	6	6	8	8	syntactic	0	0
1333666	inanim-inanim	bus	near	crane	brakes	abruptly	GSLS_sing_semantic	The bus near the crane brakes abruptly.	0	154954539	19370874	5664326	2506876	7262021	4	3	5	6	8	semantic	0	0
1109697	anim-anim	banker	that	barber	likes	coughs	GSLS_C_sing_syntactic	The banker that the barber likes coughs.	0	8000768228	5135467	4668021	9285296	582381	4	6	6	5	6	syntactic	0	0
2344641	anim-anim	painters	that	waiters	dislike	smile	GSLS_C_plur_syntactic	The painters that the waiters dislike smile.	0	8000768228	7084827	1363954	6703610	32358171	4	8	7	7	5	syntactic	0	0
4202496	anim-anim	doctors	by	judge	hate	climbing	GSLD_plur_syntactic	The doctors by the judge hate climbing.	0	4703106084	19521968	63704000	16538862	7755370	2	7	5	4	8	syntactic	0	0
10373937	anim-anim	farmers	that	tailors	likes	cry	GDLD_C_plur_syntactic	The farmers that the tailors likes cry.	1	8000768228	33753767	1121681	9285296	24708519	4	7	7	5	3	syntactic	0	0
1097336	anim-anim	actor	beside	barber	likes	acting	GSLS_sing_syntactic	The actor beside the barber likes acting.	0	29718597	14665285	4668021	9285296	38536231	6	5	6	5	6	syntactic	0	0
1326950	inanim-inanim	bus	by	taxi	crashes	abruptly	GSLS_sing_semantic	The bus by the taxi crashes abruptly.	0	4703106084	19370874	4478068	1060077	7262021	2	3	4	7	8	semantic	0	0
5987125	anim-anim	dentist	that	teachers	know	turns	GDLS_C_sing_syntactic	The dentist that the teachers know turns.	0	8000768228	3198534	73279702	405542218	29719923	4	7	8	4	5	syntactic	0	144
1373166	anim-inanim	teachers	beside	scooters	hate	walking	GSLD_plur_semantic	The teachers beside the scooters hate walking.	0	29718597	73279702	182717	16538862	30746983	6	8	8	4	7	semantic	0	0
