	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
5	anim-anim	tailor	near	waiters	hate	climbing	GDLS_C_sing_syntactic	The tailor that the waiters hate prays.	0	154954539	3371396	1363954	16538862	7755370	4	6	7	4	8	syntactic
6	anim-anim	author	near	bankers	prefer	boxing	GDLS_C_sing_syntactic	The author that the bankers prefer arrives.	0	154954539	99092074	6179440	20278168	2262574	4	6	7	6	6	syntactic
2	inanim-inanim	cars	near	vans	love	camping	GDLD_plur_semantic	The cars near the vans love camping.	1	154954539	24371897	963840	210137973	3430548	4	4	4	4	7	semantic
4	anim-anim	judges	near	teachers	brake	abruptly	GDLD_plur_semantic	The judges near the teachers brake abruptly.	1	154954539	24677643	73279702	4685005	7262021	4	6	8	5	8	semantic
6	anim-anim	athletes	near	builders	hate	climbing	GSLS_plur_semantic	The athletes near the builders hate climbing.	0	154954539	4726603	5454568	16538862	7755370	4	8	8	4	8	semantic
7	anim-anim	painters	by	builders	hate	fishing	GSLS_plur_syntactic	The painters by the builders hate fishing.	0	4703106084	7084827	5454568	16538862	21745307	2	8	8	4	7	syntactic
0	anim-anim	tailor	near	lawyers	dislikes	studying	GSLD_sing_syntactic	The tailor near the lawyers dislikes studying.	0	154954539	3371396	15702570	1451937	19754110	4	6	7	8	8	syntactic
7	inanim-anim	van	beside	pilot	crashes	suddenly	GSLD_sing_semantic	The van beside the pilot crashes suddenly.	0	29718597	54213864	16262831	1060077	58025537	6	3	5	7	8	semantic
2	anim-inanim	authors	by	trucks	avoid	yachting	GSLD_plur_semantic	The authors by the trucks avoid yachting.	0	4703106084	42845288	6808013	60713817	382785	2	7	6	5	8	semantic
1	anim-anim	banker	by	barber	detests	studying	GSLS_C_sing_syntactic	The banker that the barber detests dies.	0	4703106084	5135467	4668021	181255	19754110	2	6	6	7	8	syntactic
5	anim-anim	pilot	by	doctor	likes	farming	GSLS_sing_syntactic	The pilot by the doctor likes farming.	0	4703106084	16262831	52110730	9285296	15602571	2	5	6	5	7	syntactic
6	anim-anim	waiter	near	tailor	avoids	skating	GSLS_sing_semantic	The waiter near the tailor avoids skating.	0	154954539	3340926	3371396	3608938	1784648	4	6	6	6	7	semantic
0	anim-anim	vets	beside	waiters	prefer	bowling	GSLS_plur_syntactic	The vets beside the waiters prefer bowling.	0	29718597	262330	1363954	20278168	2476732	6	4	7	6	7	syntactic
0	anim-anim	painters	beside	builders	prefer	acting	GSLS_C_plur_syntactic	The painters that the builders prefer pray.	0	29718597	7084827	5454568	20278168	38536231	6	8	8	6	6	syntactic
0	anim-anim	teacher	beside	athletes	fear	walking	GDLS_sing_syntactic	The teacher beside the athletes fear walking.	1	29718597	74147301	4726603	83025936	30746983	6	7	8	4	7	syntactic
0	anim-anim	plumber	near	painter	fear	gambling	GDLD_sing_syntactic	The plumber near the painter fear gambling.	1	154954539	734834	13065194	83025936	6130169	4	7	7	4	8	syntactic
2	inanim-inanim	taxi	near	scooter	loves	dancing	GDLD_sing_semantic	The taxi near the scooter loves dancing.	1	154954539	4478068	405037	12028067	15565681	4	4	7	5	7	semantic
3	anim-anim	bakers	beside	vet	avoid	painting	GSLD_C_plur_syntactic	The bakers that the vet avoid sit.	1	29718597	997597	2597895	60713817	32738623	6	6	3	5	8	syntactic
1	anim-anim	actor	beside	farmer	prefers	fencing	GSLS_sing_syntactic	The actor beside the farmer prefers fencing.	0	29718597	14665285	20568429	4149558	1887055	6	5	6	7	7	syntactic
0	anim-anim	waiters	near	author	fears	skating	GDLS_C_plur_syntactic	The waiters that the author fears die.	0	154954539	1363954	99092074	17721106	1784648	4	7	6	5	7	syntactic
9	anim-anim	doctors	beside	teacher	dislikes	cooking	GDLS_C_plur_syntactic	The doctors that the teacher dislikes pray.	0	29718597	19521968	74147301	1451937	13672366	6	7	7	8	7	syntactic
9	anim-anim	actor	near	vets	prefers	cycling	GSLD_sing_syntactic	The actor near the vets prefers cycling.	0	154954539	14665285	262330	4149558	2334761	4	5	4	7	7	syntactic
2	anim-anim	nurses	by	painter	likes	spinning	GDLS_plur_syntactic	The nurses by the painter likes spinning.	1	4703106084	14176931	13065194	9285296	6978676	2	6	7	5	8	syntactic
8	inanim-anim	tractors	by	builders	leak	suddenly	GSLD_plur_semantic	The tractors by the builders leak suddenly.	0	4703106084	1908544	5454568	3272091	58025537	2	8	8	4	8	semantic
2	anim-anim	doctor	beside	plumber	prefer	fencing	GDLD_C_sing_syntactic	The doctor that the plumber prefer sits.	1	29718597	52110730	734834	20278168	1887055	6	6	7	6	7	syntactic
3	anim-anim	builder	near	judge	prefer	fishing	GDLD_sing_syntactic	The builder near the judge prefer fishing.	1	154954539	4915470	63704000	20278168	21745307	4	7	5	6	7	syntactic
9	inanim-inanim	scooters	near	tractors	honk	twice	GSLS_plur_semantic	The scooters near the tractors honk twice.	0	154954539	182717	1908544	186601	36389658	4	8	8	4	5	semantic
6	anim-anim	vets	beside	builder	prefers	walking	GDLS_plur_syntactic	The vets beside the builder prefers walking.	1	29718597	262330	4915470	4149558	30746983	6	4	7	7	7	syntactic
2	anim-inanim	doctor	by	bus	honks	twice	GDLS_sing_semantic	The doctor by the bus honks twice.	1	4703106084	52110730	19370874	0	36389658	2	6	3	5	5	semantic
3	anim-anim	farmers	near	tailors	likes	sailing	GDLD_C_plur_syntactic	The farmers that the tailors likes sit.	1	154954539	33753767	1121681	9285296	8731451	4	7	7	5	7	syntactic
4	anim-anim	bakers	near	tailors	likes	farming	GDLD_plur_syntactic	The bakers near the tailors likes farming.	1	154954539	997597	1121681	9285296	15602571	4	6	7	5	7	syntactic
5	inanim-anim	taxis	beside	actors	hate	fencing	GDLS_plur_semantic	The taxis beside the actors hate fencing.	1	29718597	1073931	18120032	16538862	1887055	6	5	6	4	7	semantic
5	anim-inanim	plumber	near	taxi	dislikes	gambling	GSLD_sing_semantic	The plumber near the taxi dislikes gambling.	0	154954539	734834	4478068	1451937	6130169	4	7	4	8	8	semantic
8	anim-anim	doctor	beside	plumbers	detest	acting	GDLS_sing_syntactic	The doctor beside the plumbers detest acting.	1	29718597	52110730	543869	740903	38536231	6	6	8	6	6	syntactic
0	anim-anim	doctor	beside	dentists	fears	driving	GSLD_C_sing_syntactic	The doctor that the dentists fears sits.	1	29718597	52110730	1487700	17721106	25592961	6	6	8	5	7	syntactic
