	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
7	anim-anim	doctors	near	dentist	avoids	sailing	GDLS_plur_syntactic	The doctors near the dentist avoids sailing.	1	154954539	19521968	3198534	3608938	8731451	4	7	7	6	7	syntactic
8	anim-anim	judges	beside	waiters	dislike	cooking	GSLS_plur_syntactic	The judges beside the waiters dislike cooking.	0	29718597	24677643	1363954	6703610	13672366	6	6	7	7	7	syntactic
4	anim-inanim	doctors	near	tractors	dislike	farming	GSLD_plur_semantic	The doctors near the tractors dislike farming.	0	154954539	19521968	1908544	6703610	15602571	4	7	8	7	7	semantic
1	anim-inanim	judge	near	truck	detests	hunting	GSLD_sing_semantic	The judge near the truck detests hunting.	0	154954539	63704000	14274010	181255	19801295	4	5	5	7	7	semantic
4	anim-anim	nurses	near	builder	loves	skating	GDLS_C_plur_syntactic	The nurses that the builder loves arrive.	0	154954539	14176931	4915470	12028067	1784648	4	6	7	5	7	syntactic
5	anim-anim	athletes	beside	teachers	fears	skating	GDLD_C_plur_syntactic	The athletes that the teachers fears pray.	1	29718597	4726603	73279702	17721106	1784648	6	8	8	5	7	syntactic
9	anim-anim	baker	near	lawyer	avoid	skiing	GDLD_C_sing_syntactic	The baker that the lawyer avoid sits.	1	154954539	13610150	21493788	60713817	1934331	4	5	6	5	6	syntactic
4	anim-anim	waiter	beside	bakers	dislike	skating	GDLS_sing_syntactic	The waiter beside the bakers dislike skating.	1	29718597	3340926	997597	6703610	1784648	6	6	6	7	7	syntactic
0	anim-anim	vets	by	authors	honk	once	GDLD_plur_semantic	The vets by the authors honk once.	1	4703106084	262330	42845288	186601	267334111	2	4	7	4	4	semantic
2	inanim-inanim	vans	by	scooters	honk	noisily	GSLS_plur_semantic	The vans by the scooters honk noisily.	0	4703106084	963840	182717	186601	807804	2	4	8	4	7	semantic
7	anim-anim	vets	near	nurse	prefer	sailing	GSLD_plur_syntactic	The vets near the nurse prefer sailing.	0	154954539	262330	23875250	20278168	8731451	4	4	5	6	7	syntactic
6	anim-anim	dentists	beside	vets	detests	sailing	GDLD_plur_syntactic	The dentists beside the vets detests sailing.	1	29718597	1487700	262330	181255	8731451	6	8	4	7	7	syntactic
0	anim-anim	teacher	by	chef	fear	acting	GDLD_sing_syntactic	The teacher by the chef fear acting.	1	4703106084	74147301	2470923	83025936	38536231	2	7	4	4	6	syntactic
5	anim-anim	painter	by	barber	detests	dancing	GSLS_C_sing_syntactic	The painter that the barber detests prays.	0	4703106084	13065194	4668021	181255	15565681	2	7	6	7	7	syntactic
1	inanim-anim	tractors	near	builders	honk	once	GSLD_plur_semantic	The tractors near the builders honk once.	0	154954539	1908544	5454568	186601	267334111	4	8	8	4	4	semantic
7	anim-anim	builder	beside	lawyer	hates	painting	GSLS_C_sing_syntactic	The builder that the lawyer hates prays.	0	29718597	4915470	21493788	2416713	32738623	6	7	6	5	8	syntactic
5	inanim-anim	van	beside	vet	hates	sailing	GDLS_sing_semantic	The van beside the vet hates sailing.	1	29718597	54213864	2597895	2416713	8731451	6	3	3	5	7	semantic
6	inanim-anim	car	near	plumber	brakes	loudly	GSLD_sing_semantic	The car near the plumber brakes loudly.	0	154954539	71566944	734834	2506876	5998778	4	3	7	6	6	semantic
1	anim-anim	pilots	near	authors	prefer	cooking	GSLS_plur_syntactic	The pilots near the authors prefer cooking.	0	154954539	5455700	42845288	20278168	13672366	4	6	7	6	7	syntactic
9	anim-inanim	banker	by	scooter	brakes	loudly	GDLS_sing_semantic	The banker by the scooter brakes loudly.	1	4703106084	5135467	405037	2506876	5998778	2	6	7	6	6	semantic
5	anim-anim	painter	near	builders	hate	spinning	GDLS_sing_syntactic	The painter near the builders hate spinning.	1	154954539	13065194	5454568	16538862	6978676	4	7	8	4	8	syntactic
7	anim-anim	doctor	by	actors	detest	painting	GDLS_C_sing_syntactic	The doctor that the actors detest prays.	0	4703106084	52110730	18120032	740903	32738623	2	6	6	6	8	syntactic
4	anim-anim	builders	beside	bakers	prefer	farming	GSLS_C_plur_syntactic	The builders that the bakers prefer arrive.	0	29718597	5454568	997597	20278168	15602571	6	8	6	6	7	syntactic
1	anim-anim	dentists	beside	farmer	dislikes	fishing	GDLS_C_plur_syntactic	The dentists that the farmer dislikes sit.	0	29718597	1487700	20568429	1451937	21745307	6	8	6	8	7	syntactic
