	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
2841088	anim-anim	banker	by	doctors	hates	climbing	GSLD_sing_syntactic	The banker by the doctors hates climbing.	0	4703106084	5135467	19521968	2416713	7755370	2	6	7	5	8	syntactic	0	0
8487789	anim-anim	waiters	that	doctors	knows	lie	GDLD_C_plur_syntactic	The waiters that the doctors knows lie.	1	8000768228	1363954	19521968	50729807	44672168	4	7	7	5	3	syntactic	0	0
10259489	anim-anim	actor	that	plumber	dislike	dies	GDLD_C_sing_syntactic	The actor that the plumber dislike dies.	1	8000768228	14665285	734834	6703610	11810645	4	5	7	7	4	syntactic	0	0
7279752	anim-anim	teacher	beside	painters	like	yachting	GDLS_sing_syntactic	The teacher beside the painters like yachting.	1	29718597	74147301	7084827	709849832	382785	6	7	8	4	8	syntactic	31	44
1331530	inanim-inanim	taxi	beside	scooter	brakes	abruptly	GSLS_sing_semantic	The taxi beside the scooter brakes abruptly.	0	29718597	4478068	405037	2506876	7262021	6	4	7	6	8	semantic	0	0
455270	anim-anim	chef	beside	teacher	dislikes	sailing	GSLS_sing_syntactic	The chef beside the teacher dislikes sailing.	0	29718597	2470923	74147301	1451937	8731451	6	4	7	8	7	syntactic	0	0
6527985	anim-anim	tailors	that	banker	dislikes	sneeze	GDLS_C_plur_syntactic	The tailors that the banker dislikes sneeze.	0	8000768228	1121681	5135467	1451937	504411	4	7	6	8	6	syntactic	0	0
5884417	anim-anim	teacher	that	teachers	like	smiles	GDLS_C_sing_syntactic	The teacher that the teachers like smiles.	0	8000768228	74147301	73279702	709849832	5542164	4	7	8	4	6	syntactic	31	100
729660	anim-anim	dentists	near	actors	dislike	bowling	GSLS_plur_syntactic	The dentists near the actors dislike bowling.	0	154954539	1487700	18120032	6703610	2476732	4	8	6	7	7	syntactic	0	0
5103649	anim-anim	nurse	that	waiters	loves	sits	GSLD_C_sing_syntactic	The nurse that the waiters loves sits.	1	8000768228	23875250	1363954	12028067	8154939	4	5	7	5	4	syntactic	0	0
1397667	inanim-anim	tractor	near	actor	brakes	suddenly	GSLD_sing_semantic	The tractor near the actor brakes suddenly.	0	154954539	3282135	14665285	2506876	58025537	4	7	5	6	8	semantic	0	0
