	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
2	inanim-inanim	buses	near	vans	rust	abruptly	GSLS_plur_semantic	The buses near the vans rust abruptly.	0	154954539	4213326	963840	3598446	7262021	4	5	4	4	8	semantic
5	anim-inanim	vets	near	buses	leak	abruptly	GDLS_plur_semantic	The vets near the buses leak abruptly.	1	154954539	262330	4213326	3272091	7262021	4	4	5	4	8	semantic
0	anim-anim	doctors	beside	plumbers	likes	hunting	GDLD_C_plur_syntactic	The doctors that the plumbers likes arrive.	1	29718597	19521968	543869	9285296	19801295	6	7	8	5	7	syntactic
7	anim-anim	teacher	by	lawyers	like	cooking	GDLS_sing_syntactic	The teacher by the lawyers like cooking.	1	4703106084	74147301	15702570	709849832	13672366	2	7	7	4	7	syntactic
1	anim-anim	waiter	beside	tailor	love	fishing	GDLD_sing_syntactic	The waiter beside the tailor love fishing.	1	29718597	3340926	3371396	210137973	21745307	6	6	6	4	7	syntactic
0	anim-anim	bakers	beside	dentists	avoid	skating	GSLS_plur_syntactic	The bakers beside the dentists avoid skating.	0	29718597	997597	1487700	60713817	1784648	6	6	8	5	7	syntactic
6	inanim-inanim	scooter	beside	truck	rusts	abruptly	GSLS_sing_semantic	The scooter beside the truck rusts abruptly.	0	29718597	405037	14274010	219876	7262021	6	7	5	5	8	semantic
3	anim-anim	dentists	beside	tailor	dislikes	hunting	GDLS_C_plur_syntactic	The dentists that the tailor dislikes arrive.	0	29718597	1487700	3371396	1451937	19801295	6	8	6	8	7	syntactic
7	anim-anim	banker	beside	farmer	fears	shopping	GSLS_C_sing_syntactic	The banker that the farmer fears arrives.	0	29718597	5135467	20568429	17721106	11206466	6	6	6	5	8	syntactic
6	anim-anim	waiters	by	bankers	leak	suddenly	GDLD_plur_semantic	The waiters by the bankers leak suddenly.	1	4703106084	1363954	6179440	3272091	58025537	2	7	7	4	8	semantic
0	anim-anim	judge	near	pilot	malfunctions	abruptly	GDLD_sing_semantic	The judge near the pilot malfunctions abruptly.	1	154954539	63704000	16262831	327422	7262021	4	5	5	12	8	semantic
