	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
6	anim-anim	painter	by	author	likes	hunting	GSLS_C_sing_syntactic	The painter that the author likes prays.	0	4703106084	13065194	99092074	9285296	19801295	2	7	6	5	7	syntactic
2	anim-anim	authors	beside	chefs	hate	shopping	GSLS_plur_semantic	The authors beside the chefs hate shopping.	0	29718597	42845288	752773	16538862	11206466	6	7	5	4	8	semantic
7	anim-anim	athletes	near	actors	loves	fencing	GDLD_C_plur_syntactic	The athletes that the actors loves sit.	1	154954539	4726603	18120032	12028067	1887055	4	8	6	5	7	syntactic
3	anim-anim	actors	beside	pilot	like	dancing	GSLD_plur_syntactic	The actors beside the pilot like dancing.	0	29718597	18120032	16262831	709849832	15565681	6	6	5	4	7	syntactic
2	anim-anim	tailor	by	dentists	hates	hunting	GSLD_C_sing_syntactic	The tailor that the dentists hates dies.	1	4703106084	3371396	1487700	2416713	19801295	2	6	8	5	7	syntactic
2	inanim-inanim	trucks	near	scooters	like	cooking	GDLD_plur_semantic	The trucks near the scooters like cooking.	1	154954539	6808013	182717	709849832	13672366	4	6	8	4	7	semantic
2	anim-anim	dentist	by	author	malfunctions	suddenly	GDLD_sing_semantic	The dentist by the author malfunctions suddenly.	1	4703106084	3198534	99092074	327422	58025537	2	7	6	12	8	semantic
7	anim-anim	builder	near	plumbers	prefers	acting	GSLD_sing_syntactic	The builder near the plumbers prefers acting.	0	154954539	4915470	543869	4149558	38536231	4	7	8	7	6	syntactic
0	inanim-inanim	scooters	by	cars	malfunction	suddenly	GSLS_plur_semantic	The scooters by the cars malfunction suddenly.	0	4703106084	182717	24371897	818548	58025537	2	8	4	11	8	semantic
6	inanim-anim	taxi	near	author	rusts	suddenly	GSLD_sing_semantic	The taxi near the author rusts suddenly.	0	154954539	4478068	99092074	219876	58025537	4	4	6	5	8	semantic
9	anim-anim	tailors	by	waiters	hates	bowling	GDLD_C_plur_syntactic	The tailors that the waiters hates die.	1	4703106084	1121681	1363954	2416713	2476732	2	7	7	5	7	syntactic
2	anim-anim	tailors	beside	teacher	fears	cycling	GDLS_plur_syntactic	The tailors beside the teacher fears cycling.	1	29718597	1121681	74147301	17721106	2334761	6	7	7	5	7	syntactic
2	anim-anim	vet	beside	painters	fear	knitting	GDLS_sing_syntactic	The vet beside the painters fear knitting.	1	29718597	2597895	7084827	83025936	2033048	6	3	8	4	8	syntactic
9	anim-anim	barbers	near	doctors	hates	cycling	GDLD_plur_syntactic	The barbers near the doctors hates cycling.	1	154954539	607437	19521968	2416713	2334761	4	7	7	5	7	syntactic
1	anim-anim	author	by	pilot	hates	fishing	GSLS_sing_syntactic	The author by the pilot hates fishing.	0	4703106084	99092074	16262831	2416713	21745307	2	6	5	5	7	syntactic
2	anim-anim	painters	beside	vets	prefers	spinning	GDLD_plur_syntactic	The painters beside the vets prefers spinning.	1	29718597	7084827	262330	4149558	6978676	6	8	4	7	8	syntactic
3	anim-anim	nurses	near	waiter	likes	skiing	GDLS_C_plur_syntactic	The nurses that the waiter likes die.	0	154954539	14176931	3340926	9285296	1934331	4	6	6	5	6	syntactic
2	inanim-inanim	truck	near	van	malfunctions	abruptly	GSLS_sing_semantic	The truck near the van malfunctions abruptly.	0	154954539	14274010	54213864	327422	7262021	4	5	3	12	8	semantic
9	inanim-anim	scooters	by	plumbers	malfunction	suddenly	GSLD_plur_semantic	The scooters by the plumbers malfunction suddenly.	0	4703106084	182717	543869	818548	58025537	2	8	8	11	8	semantic
5	anim-inanim	barber	beside	tractor	avoids	acting	GSLD_sing_semantic	The barber beside the tractor avoids acting.	0	29718597	4668021	3282135	3608938	38536231	6	6	7	6	6	semantic
8	anim-anim	tailors	beside	plumber	avoids	driving	GDLS_C_plur_syntactic	The tailors that the plumber avoids pray.	0	29718597	1121681	734834	3608938	25592961	6	7	7	6	7	syntactic
5	anim-anim	chef	beside	nurse	fear	studying	GDLD_C_sing_syntactic	The chef that the nurse fear sits.	1	29718597	2470923	23875250	83025936	19754110	6	4	5	4	8	syntactic
9	anim-inanim	pilots	beside	tractors	malfunction	abruptly	GDLS_plur_semantic	The pilots beside the tractors malfunction abruptly.	1	29718597	5455700	1908544	818548	7262021	6	6	8	11	8	semantic
0	anim-anim	tailor	near	lawyers	detest	gambling	GDLS_C_sing_syntactic	The tailor that the lawyers detest arrives.	0	154954539	3371396	15702570	740903	6130169	4	6	7	6	8	syntactic
8	anim-anim	dentist	by	baker	hate	fishing	GDLD_C_sing_syntactic	The dentist that the baker hate dies.	1	4703106084	3198534	13610150	16538862	21745307	2	7	5	4	7	syntactic
9	anim-anim	pilots	by	builders	fear	sailing	GSLS_C_plur_syntactic	The pilots that the builders fear pray.	0	4703106084	5455700	5454568	83025936	8731451	2	6	8	4	7	syntactic
8	anim-anim	baker	beside	author	detests	yachting	GSLS_sing_semantic	The baker beside the author detests yachting.	0	29718597	13610150	99092074	181255	382785	6	5	6	7	8	semantic
4	anim-anim	painter	near	plumber	detest	skating	GDLD_sing_syntactic	The painter near the plumber detest skating.	1	154954539	13065194	734834	740903	1784648	4	7	7	6	7	syntactic
0	inanim-inanim	van	near	scooter	fears	skiing	GDLD_sing_semantic	The van near the scooter fears skiing.	1	154954539	54213864	405037	17721106	1934331	4	3	7	5	6	semantic
6	anim-anim	pilots	by	vet	likes	hunting	GDLS_plur_syntactic	The pilots by the vet likes hunting.	1	4703106084	5455700	2597895	9285296	19801295	2	6	3	5	7	syntactic
1	inanim-anim	scooter	by	nurse	loves	boxing	GDLS_sing_semantic	The scooter by the nurse loves boxing.	1	4703106084	405037	23875250	12028067	2262574	2	7	5	5	6	semantic
5	anim-anim	dentists	beside	baker	avoid	gambling	GSLD_plur_syntactic	The dentists beside the baker avoid gambling.	0	29718597	1487700	13610150	60713817	6130169	6	8	5	5	8	syntactic
5	anim-anim	farmers	by	plumber	dislike	walking	GSLD_C_plur_syntactic	The farmers that the plumber dislike die.	1	4703106084	33753767	734834	6703610	30746983	2	7	7	7	7	syntactic
0	anim-anim	teacher	beside	builders	likes	gambling	GSLD_sing_syntactic	The teacher beside the builders likes gambling.	0	29718597	74147301	5454568	9285296	6130169	6	7	8	5	8	syntactic
9	anim-anim	judge	beside	pilots	dislike	bowling	GDLS_sing_syntactic	The judge beside the pilots dislike bowling.	1	29718597	63704000	5455700	6703610	2476732	6	5	6	7	7	syntactic
2	anim-anim	barbers	near	vets	hate	farming	GSLS_plur_syntactic	The barbers near the vets hate farming.	0	154954539	607437	262330	16538862	15602571	4	7	4	4	7	syntactic
4	anim-anim	authors	near	nurses	leak	suddenly	GDLD_plur_semantic	The authors near the nurses leak suddenly.	1	154954539	42845288	14176931	3272091	58025537	4	7	6	4	8	semantic
1	inanim-anim	tractors	near	authors	avoid	fishing	GDLS_plur_semantic	The tractors near the authors avoid fishing.	1	154954539	1908544	42845288	60713817	21745307	4	8	7	5	7	semantic
8	anim-inanim	chef	by	car	leaks	suddenly	GDLS_sing_semantic	The chef by the car leaks suddenly.	1	4703106084	2470923	71566944	1935324	58025537	2	4	3	5	8	semantic
2	anim-anim	teachers	near	chefs	love	hunting	GSLS_C_plur_syntactic	The teachers that the chefs love pray.	0	154954539	73279702	752773	210137973	19801295	4	8	5	4	7	syntactic
7	anim-inanim	actors	beside	scooters	avoid	dancing	GSLD_plur_semantic	The actors beside the scooters avoid dancing.	0	29718597	18120032	182717	60713817	15565681	6	6	8	5	7	semantic
8	anim-anim	judge	by	authors	like	camping	GDLS_C_sing_syntactic	The judge that the authors like sits.	0	4703106084	63704000	42845288	709849832	3430548	2	5	7	4	7	syntactic
9	anim-anim	baker	beside	barbers	dislikes	boxing	GSLD_C_sing_syntactic	The baker that the barbers dislikes prays.	1	29718597	13610150	607437	1451937	2262574	6	5	7	8	6	syntactic
