	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
6	anim-inanim	lawyer	near	truck	avoids	climbing	GSLD_sing_semantic	The lawyer near the truck avoids climbing.	0	154954539	21493788	14274010	3608938	7755370	4	6	5	6	8	semantic
7	anim-anim	waiters	beside	builder	fear	cooking	GSLD_plur_syntactic	The waiters beside the builder fear cooking.	0	29718597	1363954	4915470	83025936	13672366	6	7	7	4	7	syntactic
2	anim-anim	tailors	by	athletes	fears	yachting	GDLD_C_plur_syntactic	The tailors that the athletes fears sit.	1	4703106084	1121681	4726603	17721106	382785	2	7	8	5	8	syntactic
2	anim-anim	doctor	by	dentists	fears	driving	GSLD_sing_syntactic	The doctor by the dentists fears driving.	0	4703106084	52110730	1487700	17721106	25592961	2	6	8	5	7	syntactic
8	anim-anim	judges	beside	dentist	detest	fishing	GSLD_C_plur_syntactic	The judges that the dentist detest pray.	1	29718597	24677643	3198534	740903	21745307	6	6	7	6	7	syntactic
8	anim-anim	plumbers	by	farmers	leak	suddenly	GDLD_plur_semantic	The plumbers by the farmers leak suddenly.	1	4703106084	543869	33753767	3272091	58025537	2	8	7	4	8	semantic
0	anim-anim	barbers	near	author	likes	spinning	GDLS_plur_syntactic	The barbers near the author likes spinning.	1	154954539	607437	99092074	9285296	6978676	4	7	6	5	8	syntactic
0	anim-anim	farmer	near	vets	fears	farming	GSLD_C_sing_syntactic	The farmer that the vets fears sits.	1	154954539	20568429	262330	17721106	15602571	4	6	4	5	7	syntactic
6	inanim-inanim	tractor	beside	scooter	malfunctions	suddenly	GSLS_sing_semantic	The tractor beside the scooter malfunctions suddenly.	0	29718597	3282135	405037	327422	58025537	6	7	7	12	8	semantic
1	anim-anim	actor	beside	pilot	hate	gambling	GDLD_C_sing_syntactic	The actor that the pilot hate dies.	1	29718597	14665285	16262831	16538862	6130169	6	5	5	4	8	syntactic
9	anim-anim	athlete	beside	barbers	fear	skating	GDLS_C_sing_syntactic	The athlete that the barbers fear dies.	0	29718597	3419291	607437	83025936	1784648	6	7	7	4	7	syntactic
6	inanim-inanim	buses	near	trucks	malfunction	suddenly	GSLS_plur_semantic	The buses near the trucks malfunction suddenly.	0	154954539	4213326	6808013	818548	58025537	4	5	6	11	8	semantic
0	anim-anim	pilot	by	author	dislikes	cooking	GSLS_C_sing_syntactic	The pilot that the author dislikes sits.	0	4703106084	16262831	99092074	1451937	13672366	2	5	6	8	7	syntactic
2	anim-anim	nurses	beside	athletes	avoid	shopping	GSLS_C_plur_syntactic	The nurses that the athletes avoid arrive.	0	29718597	14176931	4726603	60713817	11206466	6	6	8	5	8	syntactic
0	anim-anim	lawyer	near	builders	love	fencing	GDLS_C_sing_syntactic	The lawyer that the builders love prays.	0	154954539	21493788	5454568	210137973	1887055	4	6	8	4	7	syntactic
4	anim-anim	chef	beside	authors	likes	spinning	GSLD_sing_syntactic	The chef beside the authors likes spinning.	0	29718597	2470923	42845288	9285296	6978676	6	4	7	5	8	syntactic
3	anim-anim	actors	by	pilots	hate	sailing	GSLS_plur_syntactic	The actors by the pilots hate sailing.	0	4703106084	18120032	5455700	16538862	8731451	2	6	6	4	7	syntactic
2	anim-anim	dentist	by	builder	leaks	abruptly	GDLD_sing_semantic	The dentist by the builder leaks abruptly.	1	4703106084	3198534	4915470	1935324	7262021	2	7	7	5	8	semantic
9	anim-anim	pilot	near	vets	dislike	acting	GDLS_sing_syntactic	The pilot near the vets dislike acting.	1	154954539	16262831	262330	6703610	38536231	4	5	4	7	6	syntactic
6	anim-anim	tailors	near	nurse	love	farming	GSLD_C_plur_syntactic	The tailors that the nurse love arrive.	1	154954539	1121681	23875250	210137973	15602571	4	7	5	4	7	syntactic
5	inanim-anim	buses	beside	athletes	love	skating	GDLS_plur_semantic	The buses beside the athletes love skating.	1	29718597	4213326	4726603	210137973	1784648	6	5	8	4	7	semantic
1	anim-anim	builders	beside	dentists	loves	yachting	GDLD_C_plur_syntactic	The builders that the dentists loves pray.	1	29718597	5454568	1487700	12028067	382785	6	8	8	5	8	syntactic
7	anim-anim	farmer	by	author	avoid	climbing	GDLD_sing_syntactic	The farmer by the author avoid climbing.	1	4703106084	20568429	99092074	60713817	7755370	2	6	6	5	8	syntactic
3	anim-anim	builders	beside	banker	hates	cycling	GDLS_C_plur_syntactic	The builders that the banker hates die.	0	29718597	5454568	5135467	2416713	2334761	6	8	6	5	7	syntactic
4	inanim-inanim	tractor	near	truck	fears	fencing	GDLD_sing_semantic	The tractor near the truck fears fencing.	1	154954539	3282135	14274010	17721106	1887055	4	7	5	5	7	semantic
8	anim-anim	lawyer	beside	tailor	loves	acting	GSLS_sing_semantic	The lawyer beside the tailor loves acting.	0	29718597	21493788	3371396	12028067	38536231	6	6	6	5	6	semantic
2	anim-anim	vets	near	chef	likes	shopping	GDLS_C_plur_syntactic	The vets that the chef likes die.	0	154954539	262330	2470923	9285296	11206466	4	4	4	5	8	syntactic
6	inanim-anim	car	near	actor	hates	skiing	GDLS_sing_semantic	The car near the actor hates skiing.	1	154954539	71566944	14665285	2416713	1934331	4	3	5	5	6	semantic
6	anim-anim	authors	near	banker	like	knitting	GSLD_plur_syntactic	The authors near the banker like knitting.	0	154954539	42845288	5135467	709849832	2033048	4	7	6	4	8	syntactic
8	anim-anim	pilot	by	plumbers	avoids	walking	GSLD_C_sing_syntactic	The pilot that the plumbers avoids arrives.	1	4703106084	16262831	543869	3608938	30746983	2	5	8	6	7	syntactic
2	anim-anim	authors	by	plumbers	fear	spinning	GSLS_plur_syntactic	The authors by the plumbers fear spinning.	0	4703106084	42845288	543869	83025936	6978676	2	7	8	4	8	syntactic
2	anim-anim	plumber	by	authors	detest	knitting	GDLS_sing_syntactic	The plumber by the authors detest knitting.	1	4703106084	734834	42845288	740903	2033048	2	7	7	6	8	syntactic
7	anim-inanim	builder	near	car	rusts	abruptly	GDLS_sing_semantic	The builder near the car rusts abruptly.	1	154954539	4915470	71566944	219876	7262021	4	7	3	5	8	semantic
6	anim-anim	athletes	by	authors	likes	fishing	GDLD_plur_syntactic	The athletes by the authors likes fishing.	1	4703106084	4726603	42845288	9285296	21745307	2	8	7	5	7	syntactic
9	inanim-inanim	taxis	by	tractors	detest	fishing	GDLD_plur_semantic	The taxis by the tractors detest fishing.	1	4703106084	1073931	1908544	740903	21745307	2	5	8	6	7	semantic
2	anim-anim	nurse	beside	judge	fears	spinning	GSLS_sing_syntactic	The nurse beside the judge fears spinning.	0	29718597	23875250	63704000	17721106	6978676	6	5	5	5	8	syntactic
1	anim-anim	judge	near	barber	likes	fencing	GSLS_C_sing_syntactic	The judge that the barber likes sits.	0	154954539	63704000	4668021	9285296	1887055	4	5	6	5	7	syntactic
7	inanim-anim	scooter	beside	banker	leaks	suddenly	GSLD_sing_semantic	The scooter beside the banker leaks suddenly.	0	29718597	405037	5135467	1935324	58025537	6	7	6	5	8	semantic
3	inanim-anim	trucks	by	doctors	leak	abruptly	GSLD_plur_semantic	The trucks by the doctors leak abruptly.	0	4703106084	6808013	19521968	3272091	7262021	2	6	7	4	8	semantic
2	anim-anim	tailor	by	teacher	detest	shopping	GDLD_sing_syntactic	The tailor by the teacher detest shopping.	1	4703106084	3371396	74147301	740903	11206466	2	6	7	6	8	syntactic
7	anim-anim	builders	by	judges	like	sailing	GSLS_C_plur_syntactic	The builders that the judges like pray.	0	4703106084	5454568	24677643	709849832	8731451	2	8	6	4	7	syntactic
8	anim-anim	doctors	by	bakers	love	skiing	GSLS_plur_semantic	The doctors by the bakers love skiing.	0	4703106084	19521968	997597	210137973	1934331	2	7	6	4	6	semantic
0	anim-inanim	nurses	by	vans	rust	suddenly	GDLS_plur_semantic	The nurses by the vans rust suddenly.	1	4703106084	14176931	963840	3598446	58025537	2	6	4	4	8	semantic
