	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
9186482	anim-anim	teacher	by	banker	dislike	fencing	GDLD_sing_syntactic	The teacher by the banker dislike fencing.	1	4703106084	74147301	5135467	6703610	1887055	2	7	6	7	7	syntactic	0	0
1330486	inanim-inanim	taxis	near	tractors	skid	abruptly	GSLS_plur_semantic	The taxis near the tractors skid abruptly.	0	154954539	1073931	1908544	816187	7262021	4	5	8	4	8	semantic	0	0
3897409	anim-anim	vets	that	barber	know	smile	GSLD_C_plur_syntactic	The vets that the barber know smile.	1	8000768228	262330	4668021	405542218	32358171	4	4	6	4	5	syntactic	0	0
1576262	inanim-inanim	vans	near	cranes	dislike	walking	GDLD_plur_semantic	The vans near the cranes dislike walking.	1	154954539	963840	1511645	6703610	30746983	4	4	6	7	7	semantic	0	0
1332194	inanim-inanim	bus	near	van	honks	twice	GSLS_sing_semantic	The bus near the van honks twice.	0	154954539	19370874	54213864	0	36389658	4	3	3	5	5	semantic	0	0
5070542	anim-anim	authors	near	waiter	hate	cycling	GSLD_plur_syntactic	The authors near the waiter hate cycling.	0	154954539	42845288	3340926	16538862	2334761	4	7	6	4	7	syntactic	0	0
4901734	anim-anim	farmer	near	tailors	likes	shopping	GSLD_sing_syntactic	The farmer near the tailors likes shopping.	0	154954539	20568429	1121681	9285296	11206466	4	6	7	5	8	syntactic	0	0
6974498	anim-anim	plumbers	beside	dentist	admires	loyalty	GDLS_plur_syntactic	The plumbers beside the dentist admires loyalty.	1	29718597	543869	3198534	929819	15810585	6	8	7	7	7	syntactic	0	0
6687242	anim-anim	waiter	near	barbers	know	japanese	GDLS_sing_syntactic	The waiter near the barbers know Japanese.	1	154954539	3340926	607437	405542218	65199997	4	6	7	4	8	syntactic	0	0
3767233	anim-anim	athlete	that	barbers	likes	coughs	GSLD_C_sing_syntactic	The athlete that the barbers likes coughs.	1	8000768228	3419291	607437	9285296	582381	4	7	7	5	6	syntactic	0	0
1394625	inanim-anim	bus	near	teacher	crashes	noisily	GSLD_sing_semantic	The bus near the teacher crashes noisily.	0	154954539	19370874	74147301	1060077	807804	4	3	7	7	7	semantic	0	0
1986579	anim-anim	plumber	that	pilot	admires	turns	GSLS_C_sing_syntactic	The plumber that the pilot admires turns.	0	8000768228	734834	16262831	929819	29719923	4	7	5	7	5	syntactic	0	0
3224129	anim-anim	doctor	that	lawyers	dislikes	arrives	GSLD_C_sing_syntactic	The doctor that the lawyers dislikes arrives.	1	8000768228	52110730	15702570	1451937	6366129	4	6	7	8	7	syntactic	0	0
6443430	anim-anim	teacher	near	bankers	love	knitting	GDLS_sing_syntactic	The teacher near the bankers love knitting.	1	154954539	74147301	6179440	210137973	2033048	4	7	7	4	8	syntactic	0	0
10584577	anim-anim	plumber	that	waiter	love	arrives	GDLD_C_sing_syntactic	The plumber that the waiter love arrives.	1	8000768228	734834	3340926	210137973	6366129	4	7	6	4	7	syntactic	0	0
1565910	inanim-inanim	taxi	near	van	dislikes	walking	GDLD_sing_semantic	The taxi near the van dislikes walking.	1	154954539	4478068	54213864	1451937	30746983	4	4	3	8	7	semantic	0	0
7908396	anim-anim	pilots	near	waiter	likes	spinning	GDLS_plur_syntactic	The pilots near the waiter likes spinning.	1	154954539	5455700	3340926	9285296	6978676	4	6	6	5	8	syntactic	0	0
5706141	anim-anim	actor	that	doctors	know	moves	GDLS_C_sing_syntactic	The actor that the doctors know moves.	0	8000768228	14665285	19521968	405542218	24787121	4	5	7	4	5	syntactic	0	77
