	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
5	anim-anim	doctors	by	tailors	detests	cycling	GDLD_plur_syntactic	The doctors by the tailors detests cycling.	1	4703106084	19521968	1121681	181255	2334761	2	7	7	7	7	syntactic
3	anim-anim	pilot	by	barber	detests	driving	GSLS_sing_semantic	The pilot by the barber detests driving.	0	4703106084	16262831	4668021	181255	25592961	2	5	6	7	7	semantic
0	anim-anim	judge	beside	plumber	avoids	driving	GSLS_sing_syntactic	The judge beside the plumber avoids driving.	0	29718597	63704000	734834	3608938	25592961	6	5	7	6	7	syntactic
6	anim-anim	builders	near	actors	love	dancing	GSLS_plur_syntactic	The builders near the actors love dancing.	0	154954539	5454568	18120032	210137973	15565681	4	8	6	4	7	syntactic
3	anim-anim	plumbers	by	nurse	prefer	dancing	GSLD_plur_syntactic	The plumbers by the nurse prefer dancing.	0	4703106084	543869	23875250	20278168	15565681	2	8	5	6	7	syntactic
3	anim-anim	waiters	by	judge	fears	boxing	GDLS_C_plur_syntactic	The waiters that the judge fears pray.	0	4703106084	1363954	63704000	17721106	2262574	2	7	5	5	6	syntactic
8	anim-anim	author	beside	nurse	rusts	abruptly	GDLD_sing_semantic	The author beside the nurse rusts abruptly.	1	29718597	99092074	23875250	219876	7262021	6	6	5	5	8	semantic
7	anim-anim	actors	near	chefs	prefer	walking	GSLS_C_plur_syntactic	The actors that the chefs prefer sit.	0	154954539	18120032	752773	20278168	30746983	4	6	5	6	7	syntactic
2	anim-anim	pilot	near	actor	detest	driving	GDLD_sing_syntactic	The pilot near the actor detest driving.	1	154954539	16262831	14665285	740903	25592961	4	5	5	6	7	syntactic
5	anim-anim	athletes	near	baker	love	dancing	GSLD_C_plur_syntactic	The athletes that the baker love sit.	1	154954539	4726603	13610150	210137973	15565681	4	8	5	4	7	syntactic
1	inanim-inanim	buses	beside	cars	fear	skating	GDLD_plur_semantic	The buses beside the cars fear skating.	1	29718597	4213326	24371897	83025936	1784648	6	5	4	4	7	semantic
7	inanim-anim	trucks	by	bakers	rust	abruptly	GSLD_plur_semantic	The trucks by the bakers rust abruptly.	0	4703106084	6808013	997597	3598446	7262021	2	6	6	4	8	semantic
9	anim-anim	plumbers	near	banker	likes	yachting	GDLS_plur_syntactic	The plumbers near the banker likes yachting.	1	154954539	543869	5135467	9285296	382785	4	8	6	5	8	syntactic
0	anim-anim	judge	near	author	fears	knitting	GSLS_C_sing_syntactic	The judge that the author fears dies.	0	154954539	63704000	99092074	17721106	2033048	4	5	6	5	8	syntactic
4	anim-anim	pilots	by	vets	loves	painting	GDLD_plur_syntactic	The pilots by the vets loves painting.	1	4703106084	5455700	262330	12028067	32738623	2	6	4	5	8	syntactic
6	anim-inanim	farmers	beside	scooters	rust	abruptly	GDLS_plur_semantic	The farmers beside the scooters rust abruptly.	1	29718597	33753767	182717	3598446	7262021	6	7	8	4	8	semantic
1	anim-anim	farmers	beside	vets	detest	camping	GSLS_plur_syntactic	The farmers beside the vets detest camping.	0	29718597	33753767	262330	740903	3430548	6	7	4	6	7	syntactic
4	anim-anim	authors	by	barber	dislikes	knitting	GDLS_C_plur_syntactic	The authors that the barber dislikes sit.	0	4703106084	42845288	4668021	1451937	2033048	2	7	6	8	8	syntactic
8	anim-anim	authors	near	vet	prefer	cooking	GSLD_C_plur_syntactic	The authors that the vet prefer pray.	1	154954539	42845288	2597895	20278168	13672366	4	7	3	6	7	syntactic
5	anim-anim	bankers	beside	nurses	fears	hunting	GDLD_C_plur_syntactic	The bankers that the nurses fears sit.	1	29718597	6179440	14176931	17721106	19801295	6	7	6	5	7	syntactic
4	inanim-inanim	scooter	near	taxi	fears	boxing	GDLD_sing_semantic	The scooter near the taxi fears boxing.	1	154954539	405037	4478068	17721106	2262574	4	7	4	5	6	semantic
6	anim-anim	nurse	beside	barbers	detest	fishing	GDLS_sing_syntactic	The nurse beside the barbers detest fishing.	1	29718597	23875250	607437	740903	21745307	6	5	7	6	7	syntactic
7	anim-anim	lawyer	beside	tailors	likes	gambling	GSLD_sing_syntactic	The lawyer beside the tailors likes gambling.	0	29718597	21493788	1121681	9285296	6130169	6	6	7	5	8	syntactic
3	inanim-inanim	buses	by	tractors	leak	abruptly	GSLS_plur_semantic	The buses by the tractors leak abruptly.	0	4703106084	4213326	1908544	3272091	7262021	2	5	8	4	8	semantic
3	anim-anim	painters	near	bankers	love	gambling	GSLS_C_plur_syntactic	The painters that the bankers love pray.	0	154954539	7084827	6179440	210137973	6130169	4	8	7	4	8	syntactic
9	anim-anim	actor	near	barber	like	bowling	GDLD_C_sing_syntactic	The actor that the barber like dies.	1	154954539	14665285	4668021	709849832	2476732	4	5	6	4	7	syntactic
7	inanim-anim	van	by	painter	prefers	bowling	GDLS_sing_semantic	The van by the painter prefers bowling.	1	4703106084	54213864	13065194	4149558	2476732	2	3	7	7	7	semantic
4	inanim-anim	tractor	near	athlete	rusts	abruptly	GSLD_sing_semantic	The tractor near the athlete rusts abruptly.	0	154954539	3282135	3419291	219876	7262021	4	7	7	5	8	semantic
1	anim-anim	doctors	by	vet	detests	fencing	GDLS_plur_syntactic	The doctors by the vet detests fencing.	1	4703106084	19521968	2597895	181255	1887055	2	7	3	7	7	syntactic
1	anim-anim	teachers	by	bakers	hate	spinning	GSLS_plur_semantic	The teachers by the bakers hate spinning.	0	4703106084	73279702	997597	16538862	6978676	2	8	6	4	8	semantic
4	anim-anim	waiter	beside	painter	loves	acting	GSLS_C_sing_syntactic	The waiter that the painter loves arrives.	0	29718597	3340926	13065194	12028067	38536231	6	6	7	5	6	syntactic
1	anim-anim	nurses	near	actor	hate	skiing	GSLD_plur_syntactic	The nurses near the actor hate skiing.	0	154954539	14176931	14665285	16538862	1934331	4	6	5	4	6	syntactic
5	anim-anim	plumber	by	dentists	like	studying	GDLS_C_sing_syntactic	The plumber that the dentists like arrives.	0	4703106084	734834	1487700	709849832	19754110	2	7	8	4	8	syntactic
3	anim-anim	judge	by	author	like	fencing	GDLD_sing_syntactic	The judge by the author like fencing.	1	4703106084	63704000	99092074	709849832	1887055	2	5	6	4	7	syntactic
5	anim-anim	banker	beside	tailor	likes	gambling	GSLS_sing_syntactic	The banker beside the tailor likes gambling.	0	29718597	5135467	3371396	9285296	6130169	6	6	6	5	8	syntactic
5	anim-anim	farmer	near	bankers	fears	studying	GSLD_C_sing_syntactic	The farmer that the bankers fears arrives.	1	154954539	20568429	6179440	17721106	19754110	4	6	7	5	8	syntactic
8	anim-anim	pilot	beside	vets	love	spinning	GDLS_C_sing_syntactic	The pilot that the vets love dies.	0	29718597	16262831	262330	210137973	6978676	6	5	4	4	8	syntactic
0	anim-inanim	bakers	by	cars	hate	walking	GSLD_plur_semantic	The bakers by the cars hate walking.	0	4703106084	997597	24371897	16538862	30746983	2	6	4	4	7	semantic
3	anim-anim	builders	by	painters	leak	suddenly	GDLD_plur_semantic	The builders by the painters leak suddenly.	1	4703106084	5454568	7084827	3272091	58025537	2	8	8	4	8	semantic
9	anim-anim	farmer	by	doctors	detests	climbing	GSLD_sing_syntactic	The farmer by the doctors detests climbing.	0	4703106084	20568429	19521968	181255	7755370	2	6	7	7	8	syntactic
4	inanim-anim	trucks	beside	dentists	avoid	cycling	GDLS_plur_semantic	The trucks beside the dentists avoid cycling.	1	29718597	6808013	1487700	60713817	2334761	6	6	8	5	7	semantic
0	anim-anim	chefs	beside	waiters	prefers	fishing	GDLD_C_plur_syntactic	The chefs that the waiters prefers arrive.	1	29718597	752773	1363954	4149558	21745307	6	5	7	7	7	syntactic
7	anim-anim	waiter	by	tailors	prefer	spinning	GDLS_sing_syntactic	The waiter by the tailors prefer spinning.	1	4703106084	3340926	1121681	20278168	6978676	2	6	7	6	8	syntactic
6	anim-inanim	doctor	by	bus	fears	skiing	GSLD_sing_semantic	The doctor by the bus fears skiing.	0	4703106084	52110730	19370874	17721106	1934331	2	6	3	5	6	semantic
2	anim-inanim	dentist	near	van	malfunctions	abruptly	GDLS_sing_semantic	The dentist near the van malfunctions abruptly.	1	154954539	3198534	54213864	327422	7262021	4	7	3	12	8	semantic
9	anim-anim	doctor	beside	dentists	loves	skiing	GSLD_C_sing_syntactic	The doctor that the dentists loves sits.	1	29718597	52110730	1487700	12028067	1934331	6	6	8	5	6	syntactic
1	inanim-inanim	scooter	by	car	malfunctions	suddenly	GSLS_sing_semantic	The scooter by the car malfunctions suddenly.	0	4703106084	405037	71566944	327422	58025537	2	7	3	12	8	semantic
5	anim-anim	chef	beside	lawyer	avoid	studying	GDLD_C_sing_syntactic	The chef that the lawyer avoid sits.	1	29718597	2470923	21493788	60713817	19754110	6	4	6	5	8	syntactic
