	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
1438507	inanim-anim	trucks	by	teachers	admire	humility	GDLS_plur_semantic	The trucks by the teachers admire humility.	1	4703106084	6808013	73279702	6461497	5981773	2	6	8	6	8	semantic	0	0
1327730	inanim-inanim	buses	beside	trucks	honk	twice	GSLS_plur_semantic	The buses beside the trucks honk twice.	0	29718597	4213326	6808013	186601	36389658	6	5	6	4	5	semantic	0	0
9875986	anim-anim	bankers	by	nurses	hates	fencing	GDLD_plur_syntactic	The bankers by the nurses hates fencing.	1	4703106084	6179440	14176931	2416713	1887055	2	7	6	5	7	syntactic	0	0
1512856	anim-anim	vets	beside	plumbers	honk	loudly	GDLD_plur_semantic	The vets beside the plumbers honk loudly.	1	29718597	262330	543869	186601	5998778	6	4	8	4	6	semantic	0	0
2955370	anim-anim	teacher	by	farmers	loves	studying	GSLD_sing_syntactic	The teacher by the farmers loves studying.	0	4703106084	74147301	33753767	12028067	19754110	2	7	7	5	8	syntactic	0	0
1417831	inanim-anim	car	by	doctor	likes	cycling	GDLS_sing_semantic	The car by the doctor likes cycling.	1	4703106084	71566944	52110730	9285296	2334761	2	3	6	5	7	semantic	0	0
7675233	anim-anim	athlete	that	tailors	hate	laughs	GDLS_C_sing_syntactic	The athlete that the tailors hate laughs.	0	8000768228	3419291	1121681	16538862	2942362	4	7	7	4	6	syntactic	0	0
5818238	anim-anim	pilots	by	farmer	dislikes	driving	GDLS_plur_syntactic	The pilots by the farmer dislikes driving.	1	4703106084	5455700	20568429	1451937	25592961	2	6	6	8	7	syntactic	0	0
1359442	anim-inanim	lawyer	near	jeep	loves	dancing	GSLD_sing_semantic	The lawyer near the jeep loves dancing.	0	154954539	21493788	2009598	12028067	15565681	4	6	4	5	7	semantic	0	0
1414715	inanim-anim	tractor	by	baker	likes	shopping	GDLS_sing_semantic	The tractor by the baker likes shopping.	1	4703106084	3282135	13610150	9285296	11206466	2	7	5	5	8	semantic	0	0
9553990	anim-anim	nurse	near	chef	admire	honesty	GDLD_sing_syntactic	The nurse near the chef admire honesty.	1	154954539	23875250	2470923	6461497	7341751	4	5	4	6	7	syntactic	0	0
6431025	anim-anim	doctor	that	bankers	love	cries	GDLS_C_sing_syntactic	The doctor that the bankers love cries.	0	8000768228	52110730	6179440	210137973	9051102	4	6	7	4	5	syntactic	0	0
