	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
4247820	anim-anim	chef	by	judges	loves	walking	GSLD_sing_syntactic	The chef by the judges loves walking.	0	4703106084	2470923	24677643	12028067	30746983	2	4	6	5	7	syntactic	0	0
1326018	inanim-inanim	trucks	near	buses	crash	abruptly	GSLS_plur_semantic	The trucks near the buses crash abruptly.	0	154954539	6808013	4213326	6995312	7262021	4	6	5	5	8	semantic	0	0
1329594	inanim-inanim	tractor	by	jeep	smashes	abruptly	GSLS_sing_semantic	The tractor by the jeep smashes abruptly.	0	4703106084	3282135	2009598	177467	7262021	2	7	4	7	8	semantic	0	0
764001	anim-anim	tailor	that	actor	dislikes	leaves	GSLS_C_sing_syntactic	The tailor that the actor dislikes leaves.	0	8000768228	3371396	14665285	1451937	59706459	4	6	5	8	6	syntactic	0	0
7670272	anim-anim	judges	by	plumber	admires	honor	GDLS_plur_syntactic	The judges by the plumber admires honor.	1	4703106084	24677643	734834	929819	30299052	2	6	7	7	5	syntactic	0	0
6438816	anim-anim	farmer	beside	bankers	dislike	farming	GDLS_sing_syntactic	The farmer beside the bankers dislike farming.	1	29718597	20568429	6179440	6703610	15602571	6	6	7	7	7	syntactic	0	0
9913604	anim-anim	pilots	beside	nurses	dislikes	cooking	GDLD_plur_syntactic	The pilots beside the nurses dislikes cooking.	1	29718597	5455700	14176931	1451937	13672366	6	6	6	8	7	syntactic	0	0
1503906	anim-anim	baker	beside	nurse	crashes	abruptly	GDLD_sing_semantic	The baker beside the nurse crashes abruptly.	1	29718597	13610150	23875250	1060077	7262021	6	5	5	7	8	semantic	0	0
1333165	inanim-inanim	scooter	near	van	brakes	noisily	GSLS_sing_semantic	The scooter near the van brakes noisily.	0	154954539	405037	54213864	2506876	807804	4	7	3	6	7	semantic	0	0
4403793	anim-anim	judges	that	nurse	hate	run	GSLD_C_plur_syntactic	The judges that the nurse hate run.	1	8000768228	24677643	23875250	16538862	109873076	4	6	5	4	3	syntactic	0	0
3756593	anim-anim	plumber	that	bankers	knows	coughs	GSLD_C_sing_syntactic	The plumber that the bankers knows coughs.	1	8000768228	734834	6179440	50729807	582381	4	7	7	5	6	syntactic	0	0
9549972	anim-anim	farmer	near	chef	admire	honesty	GDLD_sing_syntactic	The farmer near the chef admire honesty.	1	154954539	20568429	2470923	6461497	7341751	4	6	4	6	7	syntactic	0	0
3755837	anim-anim	painter	that	bankers	knows	sneezes	GSLD_C_sing_syntactic	The painter that the bankers knows sneezes.	1	8000768228	13065194	6179440	50729807	134227	4	7	7	5	7	syntactic	0	0
4068785	anim-anim	farmers	that	dentist	love	lie	GSLD_C_plur_syntactic	The farmers that the dentist love lie.	1	8000768228	33753767	3198534	210137973	44672168	4	7	7	4	3	syntactic	0	0
7678497	anim-anim	athletes	that	tailor	hates	sit	GDLS_C_plur_syntactic	The athletes that the tailor hates sit.	0	8000768228	4726603	3371396	2416713	40245691	4	8	6	5	3	syntactic	0	0
1465887	inanim-anim	bus	near	banker	knows	russian	GDLS_sing_semantic	The bus near the banker knows Russian.	1	154954539	19370874	5135467	50729807	53427209	4	3	6	5	7	semantic	0	0
2008456	anim-anim	farmer	beside	plumber	hates	yachting	GSLS_sing_syntactic	The farmer beside the plumber hates yachting.	0	29718597	20568429	734834	2416713	382785	6	6	7	5	8	syntactic	0	0
1320933	anim-anim	bankers	that	chefs	admire	leave	GSLS_C_plur_syntactic	The bankers that the chefs admire leave.	0	8000768228	6179440	752773	6461497	111442661	4	7	5	6	5	syntactic	0	0
2478817	anim-anim	pilot	that	vet	loves	laughs	GSLS_C_sing_syntactic	The pilot that the vet loves laughs.	0	8000768228	16262831	2597895	12028067	2942362	4	5	3	5	6	syntactic	0	0
7896134	anim-anim	nurses	by	waiter	likes	knitting	GDLS_plur_syntactic	The nurses by the waiter likes knitting.	1	4703106084	14176931	3340926	9285296	2033048	2	6	6	5	8	syntactic	0	0
1495319	anim-anim	lawyer	near	chef	smashes	suddenly	GDLD_sing_semantic	The lawyer near the chef smashes suddenly.	1	154954539	21493788	2470923	177467	58025537	4	6	4	7	8	semantic	0	0
1331222	inanim-inanim	tractors	beside	scooters	honk	twice	GSLS_plur_semantic	The tractors beside the scooters honk twice.	0	29718597	1908544	182717	186601	36389658	6	8	8	4	5	semantic	0	0
1432375	inanim-anim	cars	beside	teachers	hate	driving	GDLS_plur_semantic	The cars beside the teachers hate driving.	1	29718597	24371897	73279702	16538862	25592961	6	4	8	4	7	semantic	0	0
1511485	anim-anim	judges	by	pilots	smash	noisily	GDLD_plur_semantic	The judges by the pilots smash noisily.	1	4703106084	24677643	5455700	1655337	807804	2	6	6	5	7	semantic	0	0
5769648	anim-anim	banker	near	farmers	like	fishing	GDLS_sing_syntactic	The banker near the farmers like fishing.	1	154954539	5135467	33753767	709849832	21745307	4	6	7	4	7	syntactic	0	101
1443906	anim-anim	teachers	by	dentists	know	spanish	GSLS_plur_syntactic	The teachers by the dentists know Spanish.	0	4703106084	73279702	1487700	405542218	51657368	2	8	8	4	7	syntactic	144	0
1413740	inanim-anim	trucks	beside	bakers	hate	acting	GDLS_plur_semantic	The trucks beside the bakers hate acting.	1	29718597	6808013	997597	16538862	38536231	6	6	6	4	6	semantic	0	0
3225884	anim-anim	doctors	near	lawyer	hate	bowling	GSLD_plur_syntactic	The doctors near the lawyer hate bowling.	0	154954539	19521968	21493788	16538862	2476732	4	7	6	4	7	syntactic	0	0
9304993	anim-anim	doctor	that	barber	like	leaves	GDLD_C_sing_syntactic	The doctor that the barber like leaves.	1	8000768228	52110730	4668021	709849832	59706459	4	6	6	4	6	syntactic	27	0
1384132	anim-inanim	athletes	by	cranes	dislike	yachting	GSLD_plur_semantic	The athletes by the cranes dislike yachting.	0	4703106084	4726603	1511645	6703610	382785	2	8	6	7	8	semantic	0	0
46897	anim-anim	bankers	that	bakers	love	cry	GSLS_C_plur_syntactic	The bankers that the bakers love cry.	0	8000768228	6179440	997597	210137973	24708519	4	7	6	4	3	syntactic	0	0
8066161	anim-anim	waiter	that	vets	dislike	moves	GDLS_C_sing_syntactic	The waiter that the vets dislike moves.	0	8000768228	3340926	262330	6703610	24787121	4	6	4	7	5	syntactic	0	0
920648	anim-anim	farmer	beside	author	admires	gratitude	GSLS_sing_syntactic	The farmer beside the author admires gratitude.	0	29718597	20568429	99092074	929819	12072922	6	6	6	7	9	syntactic	0	0
8425730	anim-anim	dentist	by	doctor	like	fencing	GDLD_sing_syntactic	The dentist by the doctor like fencing.	1	4703106084	3198534	52110730	709849832	1887055	2	7	6	4	7	syntactic	0	27
1335668	anim-inanim	baker	by	bus	dislikes	painting	GSLD_sing_semantic	The baker by the bus dislikes painting.	0	4703106084	13610150	19370874	1451937	32738623	2	5	3	8	8	semantic	0	0
1503867	anim-anim	athletes	beside	nurses	smash	suddenly	GDLD_plur_semantic	The athletes beside the nurses smash suddenly.	1	29718597	4726603	14176931	1655337	58025537	6	8	6	5	8	semantic	0	0
4987680	anim-anim	tailor	near	tailors	likes	fishing	GSLD_sing_syntactic	The tailor near the tailors likes fishing.	0	154954539	3371396	1121681	9285296	21745307	4	6	7	5	7	syntactic	0	0
1517250	anim-anim	barbers	beside	judges	love	skating	GSLS_plur_syntactic	The barbers beside the judges love skating.	0	29718597	607437	24677643	210137973	1784648	6	7	6	4	7	syntactic	0	0
9584721	anim-anim	teacher	that	dentist	dislike	turns	GDLD_C_sing_syntactic	The teacher that the dentist dislike turns.	1	8000768228	74147301	3198534	6703610	29719923	4	7	7	7	5	syntactic	0	0
10032790	anim-anim	judges	beside	painters	loves	sailing	GDLD_plur_syntactic	The judges beside the painters loves sailing.	1	29718597	24677643	7084827	12028067	8731451	6	6	8	5	7	syntactic	0	0
8943265	anim-anim	bankers	that	actors	dislikes	die	GDLD_C_plur_syntactic	The bankers that the actors dislikes die.	1	8000768228	6179440	18120032	1451937	104147370	4	7	6	8	3	syntactic	0	0
10281233	anim-anim	barbers	that	plumbers	dislikes	turn	GDLD_C_plur_syntactic	The barbers that the plumbers dislikes turn.	1	8000768228	607437	543869	1451937	134505772	4	7	8	8	4	syntactic	0	0
1386567	anim-inanim	teacher	near	crane	loves	cycling	GSLD_sing_semantic	The teacher near the crane loves cycling.	0	154954539	74147301	5664326	12028067	2334761	4	7	5	5	7	semantic	0	0
1402843	anim-inanim	lawyer	near	taxi	smashes	suddenly	GDLS_sing_semantic	The lawyer near the taxi smashes suddenly.	1	154954539	21493788	4478068	177467	58025537	4	6	4	7	8	semantic	0	0
6053937	anim-anim	bankers	that	lawyer	dislikes	cry	GDLS_C_plur_syntactic	The bankers that the lawyer dislikes cry.	0	8000768228	6179440	21493788	1451937	24708519	4	7	6	8	3	syntactic	0	0
3796248	anim-anim	teachers	beside	barber	hate	acting	GSLD_plur_syntactic	The teachers beside the barber hate acting.	0	29718597	73279702	4668021	16538862	38536231	6	8	6	4	6	syntactic	0	0
1376975	anim-inanim	athletes	near	vans	love	cycling	GSLD_plur_semantic	The athletes near the vans love cycling.	0	154954539	4726603	963840	210137973	2334761	4	8	4	4	7	semantic	0	0
7003313	anim-anim	teacher	that	judges	dislike	lies	GDLS_C_sing_syntactic	The teacher that the judges dislike lies.	0	8000768228	74147301	24677643	6703610	48941300	4	7	6	7	4	syntactic	0	0
