	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
8474913	anim-anim	vet	that	doctor	like	laughs	GDLD_C_sing_syntactic	The vet that the doctor like laughs.	1	8000768228	2597895	52110730	709849832	2942362	4	3	6	4	6	syntactic	0	27
6501777	anim-anim	nurses	that	banker	loves	pray	GDLS_C_plur_syntactic	The nurses that the banker loves pray.	0	8000768228	14176931	5135467	12028067	20289141	4	6	6	5	4	syntactic	0	0
10516460	anim-anim	lawyer	by	waiter	love	spinning	GDLD_sing_syntactic	The lawyer by the waiter love spinning.	1	4703106084	21493788	3340926	210137973	6978676	2	6	6	4	8	syntactic	0	0
6073281	anim-anim	judge	that	lawyers	like	coughs	GDLS_C_sing_syntactic	The judge that the lawyers like coughs.	0	8000768228	63704000	15702570	709849832	582381	4	5	7	4	6	syntactic	0	78
1429794	inanim-anim	scooters	by	farmers	like	cooking	GDLS_plur_semantic	The scooters by the farmers like cooking.	1	4703106084	182717	33753767	709849832	13672366	2	8	7	4	7	semantic	0	101
206292	anim-anim	nurse	by	doctor	likes	gambling	GSLS_sing_syntactic	The nurse by the doctor likes gambling.	0	4703106084	23875250	52110730	9285296	6130169	2	5	6	5	8	syntactic	0	0
944033	anim-anim	doctors	that	bankers	love	laugh	GSLS_C_plur_syntactic	The doctors that the bankers love laugh.	0	8000768228	19521968	6179440	210137973	18161896	4	7	7	4	5	syntactic	0	0
4044737	anim-anim	tailor	that	chefs	admires	smiles	GSLD_C_sing_syntactic	The tailor that the chefs admires smiles.	1	8000768228	3371396	752773	929819	5542164	4	6	5	7	6	syntactic	0	0
6262577	anim-anim	doctor	that	actors	know	coughs	GDLS_C_sing_syntactic	The doctor that the actors know coughs.	0	8000768228	52110730	18120032	405542218	582381	4	6	6	4	6	syntactic	34	0
10460241	anim-anim	waiters	that	tailors	likes	run	GDLD_C_plur_syntactic	The waiters that the tailors likes run.	1	8000768228	1363954	1121681	9285296	109873076	4	7	7	5	3	syntactic	0	0
1377112	anim-inanim	athletes	by	vans	dislike	climbing	GSLD_plur_semantic	The athletes by the vans dislike climbing.	0	4703106084	4726603	963840	6703610	7755370	2	8	4	7	8	semantic	0	0
1397892	inanim-anim	scooters	beside	actors	crash	loudly	GSLD_plur_semantic	The scooters beside the actors crash loudly.	0	29718597	182717	18120032	6995312	5998778	6	8	6	5	6	semantic	0	0
1331607	inanim-inanim	taxis	beside	scooters	skid	suddenly	GSLS_plur_semantic	The taxis beside the scooters skid suddenly.	0	29718597	1073931	182717	816187	58025537	6	5	8	4	8	semantic	0	0
