	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
0	anim-anim	authors	by	doctors	love	acting	GSLS_plur_syntactic	The authors by the doctors love acting.	0	4703106084	42845288	19521968	210137973	38536231	2	7	7	4	6	syntactic
6	anim-anim	chefs	by	farmer	avoids	boxing	GDLS_plur_syntactic	The chefs by the farmer avoids boxing.	1	4703106084	752773	20568429	3608938	2262574	2	5	6	6	6	syntactic
4	anim-anim	authors	by	banker	avoid	sailing	GSLD_plur_syntactic	The authors by the banker avoid sailing.	0	4703106084	42845288	5135467	60713817	8731451	2	7	6	5	7	syntactic
4	anim-anim	plumbers	near	nurses	prefers	gambling	GDLD_plur_syntactic	The plumbers near the nurses prefers gambling.	1	154954539	543869	14176931	4149558	6130169	4	8	6	7	8	syntactic
4	anim-anim	doctor	near	actor	detest	cooking	GDLD_sing_syntactic	The doctor near the actor detest cooking.	1	154954539	52110730	14665285	740903	13672366	4	6	5	6	7	syntactic
6	anim-anim	judges	near	chef	love	cycling	GSLD_plur_syntactic	The judges near the chef love cycling.	0	154954539	24677643	2470923	210137973	2334761	4	6	4	4	7	syntactic
5	anim-anim	doctors	by	farmers	like	bowling	GSLS_C_plur_syntactic	The doctors that the farmers like arrive.	0	4703106084	19521968	33753767	709849832	2476732	2	7	7	4	7	syntactic
4	anim-anim	farmer	beside	waiter	likes	spinning	GSLS_C_sing_syntactic	The farmer that the waiter likes sits.	0	29718597	20568429	3340926	9285296	6978676	6	6	6	5	8	syntactic
7	inanim-anim	tractors	near	dentists	fear	skating	GDLS_plur_semantic	The tractors near the dentists fear skating.	1	154954539	1908544	1487700	83025936	1784648	4	8	8	4	7	semantic
3	anim-anim	judges	near	author	like	acting	GSLD_C_plur_syntactic	The judges that the author like die.	1	154954539	24677643	99092074	709849832	38536231	4	6	6	4	6	syntactic
6	anim-anim	teacher	beside	baker	hates	climbing	GSLS_C_sing_syntactic	The teacher that the baker hates prays.	0	29718597	74147301	13610150	2416713	7755370	6	7	5	5	8	syntactic
3	inanim-inanim	cars	by	trucks	hate	skiing	GDLD_plur_semantic	The cars by the trucks hate skiing.	1	4703106084	24371897	6808013	16538862	1934331	2	4	6	4	6	semantic
