	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
5	anim-anim	barber	beside	lawyers	loves	fishing	GSLD_C_sing_syntactic	The barber that the lawyers loves dies.	1	29718597	4668021	15702570	12028067	21745307	6	6	7	5	7	syntactic
9	inanim-inanim	scooters	near	vans	leak	abruptly	GSLS_plur_semantic	The scooters near the vans leak abruptly.	0	154954539	182717	963840	3272091	7262021	4	8	4	4	8	semantic
7	anim-anim	pilot	beside	painter	avoid	camping	GDLD_C_sing_syntactic	The pilot that the painter avoid dies.	1	29718597	16262831	13065194	60713817	3430548	6	5	7	5	7	syntactic
5	anim-anim	baker	by	bankers	love	gambling	GDLS_C_sing_syntactic	The baker that the bankers love dies.	0	4703106084	13610150	6179440	210137973	6130169	2	5	7	4	8	syntactic
9	anim-anim	vet	by	plumber	prefers	acting	GSLS_sing_syntactic	The vet by the plumber prefers acting.	0	4703106084	2597895	734834	4149558	38536231	2	3	7	7	6	syntactic
8	anim-inanim	farmer	by	van	dislikes	knitting	GSLD_sing_semantic	The farmer by the van dislikes knitting.	0	4703106084	20568429	54213864	1451937	2033048	2	6	3	8	8	semantic
2	anim-anim	plumbers	by	builder	prefer	studying	GSLD_C_plur_syntactic	The plumbers that the builder prefer pray.	1	4703106084	543869	4915470	20278168	19754110	2	8	7	6	8	syntactic
5	anim-anim	barber	near	plumber	crashes	suddenly	GDLD_sing_semantic	The barber near the plumber crashes suddenly.	1	154954539	4668021	734834	1060077	58025537	4	6	7	7	8	semantic
6	anim-anim	tailors	by	judges	likes	hunting	GDLD_plur_syntactic	The tailors by the judges likes hunting.	1	4703106084	1121681	24677643	9285296	19801295	2	7	6	5	7	syntactic
3	anim-anim	vets	near	pilots	crash	suddenly	GDLD_plur_semantic	The vets near the pilots crash suddenly.	1	154954539	262330	5455700	6995312	58025537	4	4	6	5	8	semantic
8	anim-anim	chef	beside	builders	detest	spinning	GDLS_sing_syntactic	The chef beside the builders detest spinning.	1	29718597	2470923	5454568	740903	6978676	6	4	8	6	8	syntactic
2	inanim-inanim	tractor	by	van	leaks	abruptly	GSLS_sing_semantic	The tractor by the van leaks abruptly.	0	4703106084	3282135	54213864	1935324	7262021	2	7	3	5	8	semantic
1	anim-anim	bakers	beside	athlete	prefers	hunting	GDLS_C_plur_syntactic	The bakers that the athlete prefers pray.	0	29718597	997597	3419291	4149558	19801295	6	6	7	7	7	syntactic
7	anim-anim	nurses	near	plumber	avoids	knitting	GDLS_plur_syntactic	The nurses near the plumber avoids knitting.	1	154954539	14176931	734834	3608938	2033048	4	6	7	6	8	syntactic
3	anim-anim	athlete	beside	barbers	avoid	dancing	GDLS_C_sing_syntactic	The athlete that the barbers avoid arrives.	0	29718597	3419291	607437	60713817	15565681	6	7	7	5	7	syntactic
5	anim-anim	pilots	by	baker	fears	studying	GDLS_C_plur_syntactic	The pilots that the baker fears pray.	0	4703106084	5455700	13610150	17721106	19754110	2	6	5	5	8	syntactic
2	anim-anim	athlete	beside	bankers	hate	bowling	GDLS_sing_syntactic	The athlete beside the bankers hate bowling.	1	29718597	3419291	6179440	16538862	2476732	6	7	7	4	7	syntactic
7	anim-anim	athletes	by	vets	like	skating	GSLS_plur_syntactic	The athletes by the vets like skating.	0	4703106084	4726603	262330	709849832	1784648	2	8	4	4	7	syntactic
1	anim-anim	actors	by	plumbers	prefers	driving	GDLD_C_plur_syntactic	The actors that the plumbers prefers sit.	1	4703106084	18120032	543869	4149558	25592961	2	6	8	7	7	syntactic
8	anim-inanim	builders	by	vans	detest	yachting	GSLD_plur_semantic	The builders by the vans detest yachting.	0	4703106084	5454568	963840	740903	382785	2	8	4	6	8	semantic
3	inanim-inanim	van	by	truck	hates	dancing	GDLD_sing_semantic	The van by the truck hates dancing.	1	4703106084	54213864	14274010	2416713	15565681	2	3	5	5	7	semantic
5	anim-inanim	chef	beside	tractor	leaks	suddenly	GDLS_sing_semantic	The chef beside the tractor leaks suddenly.	1	29718597	2470923	3282135	1935324	58025537	6	4	7	5	8	semantic
6	inanim-anim	tractor	near	lawyer	likes	climbing	GDLS_sing_semantic	The tractor near the lawyer likes climbing.	1	154954539	3282135	21493788	9285296	7755370	4	7	6	5	8	semantic
5	inanim-anim	scooters	beside	builders	leak	abruptly	GSLD_plur_semantic	The scooters beside the builders leak abruptly.	0	29718597	182717	5454568	3272091	7262021	6	8	8	4	8	semantic
2	anim-anim	teacher	near	plumbers	avoids	skiing	GSLD_C_sing_syntactic	The teacher that the plumbers avoids prays.	1	154954539	74147301	543869	3608938	1934331	4	7	8	6	6	syntactic
8	anim-anim	waiters	near	chefs	prefer	driving	GSLS_plur_semantic	The waiters near the chefs prefer driving.	0	154954539	1363954	752773	20278168	25592961	4	7	5	6	7	semantic
1	anim-anim	plumber	by	tailor	prefer	dancing	GDLD_C_sing_syntactic	The plumber that the tailor prefer sits.	1	4703106084	734834	3371396	20278168	15565681	2	7	6	6	7	syntactic
6	anim-anim	author	beside	baker	like	spinning	GDLD_sing_syntactic	The author beside the baker like spinning.	1	29718597	99092074	13610150	709849832	6978676	6	6	5	4	8	syntactic
6	inanim-anim	taxis	by	plumbers	avoid	fencing	GDLS_plur_semantic	The taxis by the plumbers avoid fencing.	1	4703106084	1073931	543869	60713817	1887055	2	5	8	5	7	semantic
2	anim-anim	authors	near	judges	avoid	acting	GSLS_plur_syntactic	The authors near the judges avoid acting.	0	154954539	42845288	24677643	60713817	38536231	4	7	6	5	6	syntactic
2	anim-anim	painter	near	doctor	likes	cycling	GSLS_C_sing_syntactic	The painter that the doctor likes arrives.	0	154954539	13065194	52110730	9285296	2334761	4	7	6	5	7	syntactic
9	anim-anim	chef	by	farmer	loves	dancing	GSLS_C_sing_syntactic	The chef that the farmer loves sits.	0	4703106084	2470923	20568429	12028067	15565681	2	4	6	5	7	syntactic
4	anim-anim	doctors	beside	painters	avoids	dancing	GDLD_plur_syntactic	The doctors beside the painters avoids dancing.	1	29718597	19521968	7084827	3608938	15565681	6	7	8	6	7	syntactic
2	anim-anim	farmer	by	judges	avoids	painting	GSLD_sing_syntactic	The farmer by the judges avoids painting.	0	4703106084	20568429	24677643	3608938	32738623	2	6	6	6	8	syntactic
2	anim-inanim	athletes	beside	tractors	leak	suddenly	GDLS_plur_semantic	The athletes beside the tractors leak suddenly.	1	29718597	4726603	1908544	3272091	58025537	6	8	8	4	8	semantic
4	anim-anim	chef	near	pilots	dislikes	farming	GSLD_sing_syntactic	The chef near the pilots dislikes farming.	0	154954539	2470923	5455700	1451937	15602571	4	4	6	8	7	syntactic
4	anim-anim	teacher	beside	doctor	likes	bowling	GSLS_sing_syntactic	The teacher beside the doctor likes bowling.	0	29718597	74147301	52110730	9285296	2476732	6	7	6	5	7	syntactic
3	anim-anim	lawyers	by	pilot	prefer	bowling	GSLD_plur_syntactic	The lawyers by the pilot prefer bowling.	0	4703106084	15702570	16262831	20278168	2476732	2	7	5	6	7	syntactic
3	anim-anim	judge	by	vet	detests	knitting	GSLS_sing_semantic	The judge by the vet detests knitting.	0	4703106084	63704000	2597895	181255	2033048	2	5	3	7	8	semantic
9	inanim-inanim	cars	near	taxis	detest	fishing	GDLD_plur_semantic	The cars near the taxis detest fishing.	1	154954539	24371897	1073931	740903	21745307	4	4	5	6	7	semantic
8	anim-anim	doctor	beside	author	prefer	skating	GDLD_sing_syntactic	The doctor beside the author prefer skating.	1	29718597	52110730	99092074	20278168	1784648	6	6	6	6	7	syntactic
2	anim-anim	teachers	near	bankers	avoids	fishing	GDLD_C_plur_syntactic	The teachers that the bankers avoids pray.	1	154954539	73279702	6179440	3608938	21745307	4	8	7	6	7	syntactic
9	anim-anim	judges	near	teacher	dislike	camping	GSLD_C_plur_syntactic	The judges that the teacher dislike pray.	1	154954539	24677643	74147301	6703610	3430548	4	6	7	7	7	syntactic
6	anim-anim	nurses	beside	painter	dislike	cooking	GSLD_plur_syntactic	The nurses beside the painter dislike cooking.	0	29718597	14176931	13065194	6703610	13672366	6	6	7	7	7	syntactic
0	anim-anim	judges	by	lawyers	fear	painting	GSLS_C_plur_syntactic	The judges that the lawyers fear die.	0	4703106084	24677643	15702570	83025936	32738623	2	6	7	4	8	syntactic
7	inanim-anim	van	near	dentist	skids	abruptly	GSLD_sing_semantic	The van near the dentist skids abruptly.	0	154954539	54213864	3198534	250523	7262021	4	3	7	5	8	semantic
9	anim-anim	authors	beside	waiter	likes	shopping	GDLS_plur_syntactic	The authors beside the waiter likes shopping.	1	29718597	42845288	3340926	9285296	11206466	6	7	6	5	8	syntactic
5	anim-anim	barbers	beside	tailors	like	cycling	GSLS_C_plur_syntactic	The barbers that the tailors like die.	0	29718597	607437	1121681	709849832	2334761	6	7	7	4	7	syntactic
