	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
2	inanim-anim	scooter	by	painter	leaks	abruptly	GSLD_sing_semantic	The scooter by the painter leaks abruptly.	0	4703106084	405037	13065194	1935324	7262021	2	7	7	5	8	semantic
6	anim-inanim	tailor	by	taxi	crashes	loudly	GDLS_sing_semantic	The tailor by the taxi crashes loudly.	1	4703106084	3371396	4478068	1060077	5998778	2	6	4	7	6	semantic
2	anim-anim	waiter	near	lawyer	hate	cycling	GDLD_sing_syntactic	The waiter near the lawyer hate cycling.	1	154954539	3340926	21493788	16538862	2334761	4	6	6	4	7	syntactic
1	anim-anim	barbers	beside	dentist	love	acting	GSLD_plur_syntactic	The barbers beside the dentist love acting.	0	29718597	607437	3198534	210137973	38536231	6	7	7	4	6	syntactic
6	anim-anim	painter	by	builders	avoid	spinning	GDLS_C_sing_syntactic	The painter that the builders avoid arrives.	0	4703106084	13065194	5454568	60713817	6978676	2	7	8	5	8	syntactic
7	inanim-anim	tractor	beside	chef	likes	cycling	GDLS_sing_semantic	The tractor beside the chef likes cycling.	1	29718597	3282135	2470923	9285296	2334761	6	7	4	5	7	semantic
9	inanim-inanim	car	beside	van	dislikes	yachting	GDLD_sing_semantic	The car beside the van dislikes yachting.	1	29718597	71566944	54213864	1451937	382785	6	3	3	8	8	semantic
0	anim-anim	nurses	beside	teachers	fear	dancing	GSLS_plur_syntactic	The nurses beside the teachers fear dancing.	0	29718597	14176931	73279702	83025936	15565681	6	6	8	4	7	syntactic
6	inanim-anim	vans	near	pilots	crash	noisily	GSLD_plur_semantic	The vans near the pilots crash noisily.	0	154954539	963840	5455700	6995312	807804	4	4	6	5	7	semantic
2	anim-anim	baker	near	waiter	prefer	sailing	GDLD_C_sing_syntactic	The baker that the waiter prefer sits.	1	154954539	13610150	3340926	20278168	8731451	4	5	6	6	7	syntactic
2	anim-anim	plumbers	beside	nurses	leak	abruptly	GDLD_plur_semantic	The plumbers beside the nurses leak abruptly.	1	29718597	543869	14176931	3272091	7262021	6	8	6	4	8	semantic
2	anim-anim	nurses	beside	doctor	dislikes	yachting	GDLS_C_plur_syntactic	The nurses that the doctor dislikes die.	0	29718597	14176931	52110730	1451937	382785	6	6	6	8	8	syntactic
5	anim-anim	pilots	by	farmers	hate	dancing	GSLS_plur_syntactic	The pilots by the farmers hate dancing.	0	4703106084	5455700	33753767	16538862	15565681	2	6	7	4	7	syntactic
7	anim-anim	waiters	near	doctor	like	fencing	GSLD_C_plur_syntactic	The waiters that the doctor like pray.	1	154954539	1363954	52110730	709849832	1887055	4	7	6	4	7	syntactic
6	anim-anim	waiter	near	pilot	likes	bowling	GSLS_C_sing_syntactic	The waiter that the pilot likes arrives.	0	154954539	3340926	16262831	9285296	2476732	4	6	5	5	7	syntactic
7	anim-anim	vet	by	dentist	love	acting	GDLD_C_sing_syntactic	The vet that the dentist love arrives.	1	4703106084	2597895	3198534	210137973	38536231	2	3	7	4	6	syntactic
