	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
9448402	anim-anim	farmers	beside	chefs	dislikes	fencing	GDLD_plur_syntactic	The farmers beside the chefs dislikes fencing.	1	29718597	33753767	752773	1451937	1887055	6	7	5	8	7	syntactic	0	0
3780914	anim-anim	doctor	by	barbers	hates	skiing	GSLD_sing_syntactic	The doctor by the barbers hates skiing.	0	4703106084	52110730	607437	2416713	1934331	2	6	7	5	6	syntactic	0	0
8438746	anim-anim	nurse	near	doctor	love	boxing	GDLD_sing_syntactic	The nurse near the doctor love boxing.	1	154954539	23875250	52110730	210137973	2262574	4	5	6	4	6	syntactic	0	0
6447950	anim-anim	teachers	by	banker	dislikes	camping	GDLS_plur_syntactic	The teachers by the banker dislikes camping.	1	4703106084	73279702	5135467	1451937	3430548	2	8	6	8	7	syntactic	0	0
1537684	inanim-inanim	scooter	beside	taxi	hates	yachting	GDLD_sing_semantic	The scooter beside the taxi hates yachting.	1	29718597	405037	4478068	2416713	382785	6	7	4	5	8	semantic	0	0
1333971	inanim-inanim	truck	beside	crane	smashes	suddenly	GSLS_sing_semantic	The truck beside the crane smashes suddenly.	0	29718597	14274010	5664326	177467	58025537	6	5	5	7	8	semantic	0	0
10319764	anim-anim	tailor	near	plumber	hate	dancing	GDLD_sing_syntactic	The tailor near the plumber hate dancing.	1	154954539	3371396	734834	16538862	15565681	4	6	7	4	7	syntactic	0	0
4747276	anim-anim	athletes	by	plumber	like	spinning	GSLD_plur_syntactic	The athletes by the plumber like spinning.	0	4703106084	4726603	734834	709849832	6978676	2	8	7	4	8	syntactic	68	0
6113114	anim-anim	waiters	by	lawyer	likes	hunting	GDLS_plur_syntactic	The waiters by the lawyer likes hunting.	1	4703106084	1363954	21493788	9285296	19801295	2	7	6	5	7	syntactic	0	0
1426341	inanim-anim	taxi	near	farmer	likes	studying	GDLS_sing_semantic	The taxi near the farmer likes studying.	1	154954539	4478068	20568429	9285296	19754110	4	4	6	5	8	semantic	0	0
1333489	inanim-inanim	scooters	near	cranes	honk	noisily	GSLS_plur_semantic	The scooters near the cranes honk noisily.	0	154954539	182717	1511645	186601	807804	4	8	6	4	7	semantic	0	0
1333612	inanim-inanim	cars	beside	cranes	brake	loudly	GSLS_plur_semantic	The cars beside the cranes brake loudly.	0	29718597	24371897	1511645	4685005	5998778	6	4	6	5	6	semantic	0	0
6452193	anim-anim	lawyers	that	banker	likes	die	GDLS_C_plur_syntactic	The lawyers that the banker likes die.	0	8000768228	15702570	5135467	9285296	104147370	4	7	6	5	3	syntactic	0	0
3338345	anim-anim	plumbers	that	lawyer	know	leave	GSLD_C_plur_syntactic	The plumbers that the lawyer know leave.	1	8000768228	543869	21493788	405542218	111442661	4	8	6	4	5	syntactic	0	0
4874932	anim-anim	bakers	by	plumber	admire	honesty	GSLD_plur_syntactic	The bakers by the plumber admire honesty.	0	4703106084	997597	734834	6461497	7341751	2	6	7	6	7	syntactic	0	0
673544	anim-anim	bakers	near	actors	hate	acting	GSLS_plur_syntactic	The bakers near the actors hate acting.	0	154954539	997597	18120032	16538862	38536231	4	6	6	4	6	syntactic	0	0
2228177	anim-anim	waiter	that	tailor	dislikes	turns	GSLS_C_sing_syntactic	The waiter that the tailor dislikes turns.	0	8000768228	3340926	3371396	1451937	29719923	4	6	6	8	5	syntactic	0	0
1444674	inanim-anim	vans	near	lawyers	love	dancing	GDLS_plur_semantic	The vans near the lawyers love dancing.	1	154954539	963840	15702570	210137973	15565681	4	4	7	4	7	semantic	0	0
1379844	anim-inanim	teacher	near	van	dislikes	yachting	GSLD_sing_semantic	The teacher near the van dislikes yachting.	0	154954539	74147301	54213864	1451937	382785	4	7	3	8	8	semantic	0	0
5160897	anim-anim	tailor	that	waiters	admires	smiles	GSLD_C_sing_syntactic	The tailor that the waiters admires smiles.	1	8000768228	3371396	1363954	929819	5542164	4	6	7	7	6	syntactic	0	0
1347233	anim-inanim	author	by	taxi	dislikes	fencing	GSLD_sing_semantic	The author by the taxi dislikes fencing.	0	4703106084	99092074	4478068	1451937	1887055	2	6	4	8	7	semantic	0	0
1186444	anim-anim	teachers	beside	barbers	admire	beauty	GSLS_plur_syntactic	The teachers beside the barbers admire beauty.	0	29718597	73279702	607437	6461497	48841623	6	8	7	6	6	syntactic	0	0
