	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
1457325	inanim-anim	scooter	by	author	likes	boxing	GDLS_sing_semantic	The scooter by the author likes boxing.	1	4703106084	405037	99092074	9285296	2262574	2	7	6	5	6	semantic	0	0
1265264	anim-anim	judges	near	chefs	hate	fishing	GSLS_plur_syntactic	The judges near the chefs hate fishing.	0	154954539	24677643	752773	16538862	21745307	4	6	5	4	7	syntactic	0	0
3443076	anim-anim	pilot	by	actors	dislikes	dancing	GSLD_sing_syntactic	The pilot by the actors dislikes dancing.	0	4703106084	16262831	18120032	1451937	15565681	2	5	6	8	7	syntactic	0	0
9576514	anim-anim	farmer	by	dentist	love	skiing	GDLD_sing_syntactic	The farmer by the dentist love skiing.	1	4703106084	20568429	3198534	210137973	1934331	2	6	7	4	6	syntactic	0	0
1395366	inanim-anim	van	near	teacher	brakes	abruptly	GSLD_sing_semantic	The van near the teacher brakes abruptly.	0	154954539	54213864	74147301	2506876	7262021	4	3	7	6	8	semantic	0	0
3334853	anim-anim	authors	that	lawyer	know	study	GSLD_C_plur_syntactic	The authors that the lawyer know study.	1	8000768228	42845288	21493788	405542218	251146114	4	7	6	4	5	syntactic	0	0
1441739	inanim-anim	trucks	near	lawyers	dislike	knitting	GDLS_plur_semantic	The trucks near the lawyers dislike knitting.	1	154954539	6808013	15702570	6703610	2033048	4	6	7	7	8	semantic	0	0
5150054	anim-anim	dentists	near	waiter	know	spanish	GSLD_plur_syntactic	The dentists near the waiter know Spanish.	0	154954539	1487700	3340926	405542218	51657368	4	8	6	4	7	syntactic	0	0
1513942	anim-anim	banker	near	plumber	smashes	abruptly	GDLD_sing_semantic	The banker near the plumber smashes abruptly.	1	154954539	5135467	734834	177467	7262021	4	6	7	7	8	semantic	0	0
7555873	anim-anim	farmers	that	plumber	likes	sit	GDLS_C_plur_syntactic	The farmers that the plumber likes sit.	0	8000768228	33753767	734834	9285296	40245691	4	7	7	5	3	syntactic	0	0
1325965	inanim-inanim	truck	near	bus	crashes	noisily	GSLS_sing_semantic	The truck near the bus crashes noisily.	0	154954539	14274010	19370874	1060077	807804	4	5	3	7	7	semantic	0	0
1838392	anim-anim	vets	beside	painters	hate	acting	GSLS_plur_syntactic	The vets beside the painters hate acting.	0	29718597	262330	7084827	16538862	38536231	6	4	8	4	6	syntactic	0	0
1577049	anim-anim	actor	that	judge	knows	laughs	GSLS_C_sing_syntactic	The actor that the judge knows laughs.	0	8000768228	14665285	63704000	50729807	2942362	4	5	5	5	6	syntactic	0	0
19200	anim-anim	teacher	near	baker	loves	climbing	GSLS_sing_syntactic	The teacher near the baker loves climbing.	0	154954539	74147301	13610150	12028067	7755370	4	7	5	5	8	syntactic	0	0
1544289	anim-anim	pilot	that	judge	likes	sits	GSLS_C_sing_syntactic	The pilot that the judge likes sits.	0	8000768228	16262831	63704000	9285296	8154939	4	5	5	5	4	syntactic	0	0
1331299	inanim-inanim	car	near	scooter	crashes	suddenly	GSLS_sing_semantic	The car near the scooter crashes suddenly.	0	154954539	71566944	405037	1060077	58025537	4	3	7	7	8	semantic	167	0
1454503	inanim-anim	taxi	near	author	hates	driving	GDLS_sing_semantic	The taxi near the author hates driving.	1	154954539	4478068	99092074	2416713	25592961	4	4	6	5	7	semantic	0	0
10502720	anim-anim	doctors	near	waiters	dislikes	fishing	GDLD_plur_syntactic	The doctors near the waiters dislikes fishing.	1	154954539	19521968	1363954	1451937	21745307	4	7	7	8	7	syntactic	0	0
1341120	anim-inanim	athletes	beside	buses	admire	gratitude	GSLD_plur_semantic	The athletes beside the buses admire gratitude.	0	29718597	4726603	4213326	6461497	12072922	6	8	5	6	9	semantic	0	0
10521937	anim-anim	actor	that	waiter	like	prays	GDLD_C_sing_syntactic	The actor that the waiter like prays.	1	8000768228	14665285	3340926	709849832	1506735	4	5	6	4	5	syntactic	0	0
7533269	anim-anim	waiter	that	pilots	admire	sits	GDLS_C_sing_syntactic	The waiter that the pilots admire sits.	0	8000768228	3340926	5455700	6461497	8154939	4	6	6	6	4	syntactic	0	0
6683693	anim-anim	bankers	that	barber	knows	lie	GDLS_C_plur_syntactic	The bankers that the barber knows lie.	0	8000768228	6179440	4668021	50729807	44672168	4	7	6	5	3	syntactic	0	0
1410275	anim-inanim	farmers	near	cranes	brake	suddenly	GDLS_plur_semantic	The farmers near the cranes brake suddenly.	1	154954539	33753767	1511645	4685005	58025537	4	7	6	5	8	semantic	0	0
1535716	inanim-inanim	trucks	beside	taxis	hate	yachting	GDLD_plur_semantic	The trucks beside the taxis hate yachting.	1	29718597	6808013	1073931	16538862	382785	6	6	5	4	8	semantic	0	0
9422785	anim-anim	plumber	that	barber	admire	smiles	GDLD_C_sing_syntactic	The plumber that the barber admire smiles.	1	8000768228	734834	4668021	6461497	5542164	4	7	6	6	6	syntactic	0	0
1329112	inanim-inanim	cars	by	jeeps	skid	loudly	GSLS_plur_semantic	The cars by the jeeps skid loudly.	0	4703106084	24371897	406341	816187	5998778	2	4	5	4	6	semantic	0	0
