	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
3308210	anim-anim	plumber	by	lawyers	loves	skating	GSLD_sing_syntactic	The plumber by the lawyers loves skating.	0	4703106084	734834	15702570	12028067	1784648	2	7	7	5	7	syntactic	0	0
1329223	inanim-inanim	buses	near	jeeps	brake	suddenly	GSLS_plur_semantic	The buses near the jeeps brake suddenly.	0	154954539	4213326	406341	4685005	58025537	4	5	5	5	8	semantic	0	0
1331312	inanim-inanim	car	by	scooter	smashes	loudly	GSLS_sing_semantic	The car by the scooter smashes loudly.	0	4703106084	71566944	405037	177467	5998778	2	3	7	7	6	semantic	0	0
7418610	anim-anim	farmers	beside	pilot	dislikes	skiing	GDLS_plur_syntactic	The farmers beside the pilot dislikes skiing.	1	29718597	33753767	16262831	1451937	1934331	6	7	5	8	6	syntactic	0	0
1306465	anim-anim	vet	that	chef	dislikes	leaves	GSLS_C_sing_syntactic	The vet that the chef dislikes leaves.	0	8000768228	2597895	2470923	1451937	59706459	4	3	4	8	6	syntactic	0	0
3483815	anim-anim	chefs	that	actor	admire	sneeze	GSLD_C_plur_syntactic	The chefs that the actor admire sneeze.	1	8000768228	752773	14665285	6461497	504411	4	5	5	6	6	syntactic	0	0
10047057	anim-anim	plumber	that	painter	like	prays	GDLD_C_sing_syntactic	The plumber that the painter like prays.	1	8000768228	734834	13065194	709849832	1506735	4	7	7	4	5	syntactic	0	0
1458485	inanim-anim	vans	beside	authors	like	hunting	GDLS_plur_semantic	The vans beside the authors like hunting.	1	29718597	963840	42845288	709849832	19801295	6	4	7	4	7	semantic	0	84
1329421	inanim-inanim	truck	by	jeep	brakes	noisily	GSLS_sing_semantic	The truck by the jeep brakes noisily.	0	4703106084	14274010	2009598	2506876	807804	2	5	4	6	7	semantic	0	0
9432320	anim-anim	baker	by	chef	hate	farming	GDLD_sing_syntactic	The baker by the chef hate farming.	1	4703106084	13610150	2470923	16538862	15602571	2	5	4	4	7	syntactic	0	0
1563454	inanim-inanim	taxi	near	scooter	knows	english	GDLD_sing_semantic	The taxi near the scooter knows English.	1	154954539	4478068	405037	50729807	195298116	4	4	7	5	7	semantic	0	0
9950413	anim-anim	barber	that	nurse	admire	dies	GDLD_C_sing_syntactic	The barber that the nurse admire dies.	1	8000768228	4668021	23875250	6461497	11810645	4	6	5	6	4	syntactic	0	0
1350298	anim-inanim	doctor	beside	truck	hates	gambling	GSLD_sing_semantic	The doctor beside the truck hates gambling.	0	29718597	52110730	14274010	2416713	6130169	6	6	5	5	8	semantic	0	0
7464065	anim-anim	dentist	that	pilots	hate	swims	GDLS_C_sing_syntactic	The dentist that the pilots hate swims.	0	8000768228	3198534	5455700	16538862	692721	4	7	6	4	5	syntactic	0	0
5274177	anim-anim	waiter	that	vets	loves	arrives	GSLD_C_sing_syntactic	The waiter that the vets loves arrives.	1	8000768228	3340926	262330	12028067	6366129	4	6	4	5	7	syntactic	0	0
9290480	anim-anim	plumbers	beside	bankers	admires	beauty	GDLD_plur_syntactic	The plumbers beside the bankers admires beauty.	1	29718597	543869	6179440	929819	48841623	6	8	7	7	6	syntactic	0	0
4021300	anim-anim	waiters	beside	chef	love	gambling	GSLD_plur_syntactic	The waiters beside the chef love gambling.	0	29718597	1363954	2470923	210137973	6130169	6	7	4	4	8	syntactic	0	0
