	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
2	anim-anim	chefs	near	actor	prefers	shopping	GDLS_plur_syntactic	The chefs near the actor prefers shopping.	1	154954539	752773	14665285	4149558	11206466	4	5	5	7	8	syntactic
8	anim-anim	doctors	beside	authors	dislike	climbing	GSLS_plur_semantic	The doctors beside the authors dislike climbing.	0	29718597	19521968	42845288	6703610	7755370	6	7	7	7	8	semantic
1	anim-anim	bankers	near	athletes	honk	once	GDLD_plur_semantic	The bankers near the athletes honk once.	1	154954539	6179440	4726603	186601	267334111	4	7	8	4	4	semantic
9	anim-inanim	vet	beside	taxi	leaks	suddenly	GDLS_sing_semantic	The vet beside the taxi leaks suddenly.	1	29718597	2597895	4478068	1935324	58025537	6	3	4	5	8	semantic
4	anim-anim	teacher	near	chef	prefers	bowling	GSLS_sing_syntactic	The teacher near the chef prefers bowling.	0	154954539	74147301	2470923	4149558	2476732	4	7	4	7	7	syntactic
1	inanim-anim	tractor	beside	lawyer	detests	studying	GDLS_sing_semantic	The tractor beside the lawyer detests studying.	1	29718597	3282135	21493788	181255	19754110	6	7	6	7	8	semantic
9	inanim-anim	tractor	by	pilot	leaks	abruptly	GSLD_sing_semantic	The tractor by the pilot leaks abruptly.	0	4703106084	3282135	16262831	1935324	7262021	2	7	5	5	8	semantic
6	anim-anim	dentist	by	chefs	likes	boxing	GSLD_C_sing_syntactic	The dentist that the chefs likes dies.	1	4703106084	3198534	752773	9285296	2262574	2	7	5	5	6	syntactic
3	anim-anim	vet	by	lawyers	hate	skiing	GDLS_sing_syntactic	The vet by the lawyers hate skiing.	1	4703106084	2597895	15702570	16538862	1934331	2	3	7	4	6	syntactic
2	anim-anim	plumbers	by	bankers	hate	cycling	GSLS_plur_syntactic	The plumbers by the bankers hate cycling.	0	4703106084	543869	6179440	16538862	2334761	2	8	7	4	7	syntactic
2	anim-anim	lawyers	by	baker	hates	sailing	GDLS_C_plur_syntactic	The lawyers that the baker hates sit.	0	4703106084	15702570	13610150	2416713	8731451	2	7	5	5	7	syntactic
7	inanim-anim	tractors	by	authors	like	painting	GDLS_plur_semantic	The tractors by the authors like painting.	1	4703106084	1908544	42845288	709849832	32738623	2	8	7	4	8	semantic
9	anim-anim	athletes	beside	pilot	dislikes	bowling	GDLS_C_plur_syntactic	The athletes that the pilot dislikes arrive.	0	29718597	4726603	16262831	1451937	2476732	6	8	5	8	7	syntactic
7	anim-anim	builder	near	athlete	loves	hunting	GSLS_sing_syntactic	The builder near the athlete loves hunting.	0	154954539	4915470	3419291	12028067	19801295	4	7	7	5	7	syntactic
4	anim-inanim	nurses	near	buses	prefer	knitting	GSLD_plur_semantic	The nurses near the buses prefer knitting.	0	154954539	14176931	4213326	20278168	2033048	4	6	5	6	8	semantic
9	anim-anim	vet	by	judge	dislikes	spinning	GSLS_C_sing_syntactic	The vet that the judge dislikes arrives.	0	4703106084	2597895	63704000	1451937	6978676	2	3	5	8	8	syntactic
0	anim-anim	builder	by	athlete	honks	loudly	GDLD_sing_semantic	The builder by the athlete honks loudly.	1	4703106084	4915470	3419291	0	5998778	2	7	7	5	6	semantic
5	anim-anim	nurse	by	lawyers	hate	shopping	GDLS_C_sing_syntactic	The nurse that the lawyers hate dies.	0	4703106084	23875250	15702570	16538862	11206466	2	5	7	4	8	syntactic
2	inanim-inanim	scooters	near	buses	brake	abruptly	GSLS_plur_semantic	The scooters near the buses brake abruptly.	0	154954539	182717	4213326	4685005	7262021	4	8	5	5	8	semantic
0	anim-anim	waiter	beside	lawyer	avoid	driving	GDLD_sing_syntactic	The waiter beside the lawyer avoid driving.	1	29718597	3340926	21493788	60713817	25592961	6	6	6	5	7	syntactic
7	anim-inanim	teacher	near	bus	fears	gambling	GSLD_sing_semantic	The teacher near the bus fears gambling.	0	154954539	74147301	19370874	17721106	6130169	4	7	3	5	8	semantic
7	inanim-anim	trucks	near	teachers	skid	suddenly	GSLD_plur_semantic	The trucks near the teachers skid suddenly.	0	154954539	6808013	73279702	816187	58025537	4	6	8	4	8	semantic
6	anim-anim	lawyers	beside	pilot	detest	acting	GSLD_C_plur_syntactic	The lawyers that the pilot detest die.	1	29718597	15702570	16262831	740903	38536231	6	7	5	6	6	syntactic
2	anim-anim	plumber	by	baker	fears	painting	GSLS_sing_semantic	The plumber by the baker fears painting.	0	4703106084	734834	13610150	17721106	32738623	2	7	5	5	8	semantic
7	anim-anim	baker	by	tailor	like	bowling	GDLD_C_sing_syntactic	The baker that the tailor like prays.	1	4703106084	13610150	3371396	709849832	2476732	2	5	6	4	7	syntactic
9	anim-anim	nurses	near	barbers	dislike	shopping	GSLS_plur_syntactic	The nurses near the barbers dislike shopping.	0	154954539	14176931	607437	6703610	11206466	4	6	7	7	8	syntactic
5	anim-anim	tailors	near	pilots	dislikes	bowling	GDLD_C_plur_syntactic	The tailors that the pilots dislikes arrive.	1	154954539	1121681	5455700	1451937	2476732	4	7	6	8	7	syntactic
3	anim-anim	author	beside	dentist	fear	skating	GDLD_sing_syntactic	The author beside the dentist fear skating.	1	29718597	99092074	3198534	83025936	1784648	6	6	7	4	7	syntactic
5	anim-anim	chef	by	nurses	love	skiing	GDLS_sing_syntactic	The chef by the nurses love skiing.	1	4703106084	2470923	14176931	210137973	1934331	2	4	6	4	6	syntactic
9	anim-anim	athlete	near	chef	dislike	driving	GDLD_C_sing_syntactic	The athlete that the chef dislike dies.	1	154954539	3419291	2470923	6703610	25592961	4	7	4	7	7	syntactic
7	anim-anim	barber	near	farmers	detest	painting	GDLS_C_sing_syntactic	The barber that the farmers detest arrives.	0	154954539	4668021	33753767	740903	32738623	4	6	7	6	8	syntactic
9	anim-anim	barbers	by	actor	like	fencing	GSLD_C_plur_syntactic	The barbers that the actor like sit.	1	4703106084	607437	14665285	709849832	1887055	2	7	5	4	7	syntactic
4	anim-anim	tailor	beside	nurses	fears	driving	GSLD_sing_syntactic	The tailor beside the nurses fears driving.	0	29718597	3371396	14176931	17721106	25592961	6	6	6	5	7	syntactic
0	anim-anim	builders	near	tailor	dislike	driving	GSLD_plur_syntactic	The builders near the tailor dislike driving.	0	154954539	5454568	3371396	6703610	25592961	4	8	6	7	7	syntactic
2	anim-anim	farmer	beside	teachers	loves	farming	GSLD_C_sing_syntactic	The farmer that the teachers loves prays.	1	29718597	20568429	73279702	12028067	15602571	6	6	8	5	7	syntactic
3	anim-anim	authors	by	painters	hate	knitting	GSLS_C_plur_syntactic	The authors that the painters hate die.	0	4703106084	42845288	7084827	16538862	2033048	2	7	8	4	8	syntactic
4	anim-anim	doctors	beside	pilots	avoid	cooking	GSLS_C_plur_syntactic	The doctors that the pilots avoid sit.	0	29718597	19521968	5455700	60713817	13672366	6	7	6	5	7	syntactic
8	inanim-inanim	buses	beside	tractors	love	fishing	GDLD_plur_semantic	The buses beside the tractors love fishing.	1	29718597	4213326	1908544	210137973	21745307	6	5	8	4	7	semantic
1	anim-anim	authors	near	farmers	fears	acting	GDLD_plur_syntactic	The authors near the farmers fears acting.	1	154954539	42845288	33753767	17721106	38536231	4	7	7	5	6	syntactic
