	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
2	anim-anim	teacher	by	barber	prefers	knitting	GSLS_C_sing_syntactic	The teacher that the barber prefers arrives.	0	4703106084	74147301	4668021	4149558	2033048	2	7	6	7	8	syntactic
2	anim-anim	farmers	beside	actors	detest	sailing	GSLS_plur_syntactic	The farmers beside the actors detest sailing.	0	29718597	33753767	18120032	740903	8731451	6	7	6	6	7	syntactic
8	anim-anim	plumbers	by	lawyers	like	skiing	GSLS_plur_syntactic	The plumbers by the lawyers like skiing.	0	4703106084	543869	15702570	709849832	1934331	2	8	7	4	6	syntactic
7	anim-anim	actors	beside	authors	hate	studying	GSLS_plur_semantic	The actors beside the authors hate studying.	0	29718597	18120032	42845288	16538862	19754110	6	6	7	4	8	semantic
0	anim-anim	judges	beside	pilot	detests	studying	GDLS_C_plur_syntactic	The judges that the pilot detests pray.	0	29718597	24677643	16262831	181255	19754110	6	6	5	7	8	syntactic
3	anim-anim	authors	near	barber	dislikes	boxing	GDLS_C_plur_syntactic	The authors that the barber dislikes pray.	0	154954539	42845288	4668021	1451937	2262574	4	7	6	8	6	syntactic
5	anim-anim	plumbers	beside	pilots	avoids	hunting	GDLD_plur_syntactic	The plumbers beside the pilots avoids hunting.	1	29718597	543869	5455700	3608938	19801295	6	8	6	6	7	syntactic
2	anim-anim	bakers	near	builder	detest	cycling	GSLD_C_plur_syntactic	The bakers that the builder detest arrive.	1	154954539	997597	4915470	740903	2334761	4	6	7	6	7	syntactic
7	anim-anim	judges	by	barber	fear	farming	GSLD_plur_syntactic	The judges by the barber fear farming.	0	4703106084	24677643	4668021	83025936	15602571	2	6	6	4	7	syntactic
7	anim-inanim	author	near	tractor	honks	once	GDLS_sing_semantic	The author near the tractor honks once.	1	154954539	99092074	3282135	0	267334111	4	6	7	5	4	semantic
2	anim-anim	authors	beside	chefs	hates	skating	GDLD_C_plur_syntactic	The authors that the chefs hates sit.	1	29718597	42845288	752773	2416713	1784648	6	7	5	5	7	syntactic
5	anim-anim	farmer	by	bakers	prefers	climbing	GSLD_C_sing_syntactic	The farmer that the bakers prefers prays.	1	4703106084	20568429	997597	4149558	7755370	2	6	6	7	8	syntactic
8	anim-anim	chef	by	judge	leaks	suddenly	GDLD_sing_semantic	The chef by the judge leaks suddenly.	1	4703106084	2470923	63704000	1935324	58025537	2	4	5	5	8	semantic
9	anim-anim	painter	near	athletes	fear	yachting	GDLS_sing_syntactic	The painter near the athletes fear yachting.	1	154954539	13065194	4726603	83025936	382785	4	7	8	4	8	syntactic
1	inanim-anim	trucks	near	authors	detest	sailing	GDLS_plur_semantic	The trucks near the authors detest sailing.	1	154954539	6808013	42845288	740903	8731451	4	6	7	6	7	semantic
7	anim-anim	athlete	beside	chefs	prefer	climbing	GDLS_sing_syntactic	The athlete beside the chefs prefer climbing.	1	29718597	3419291	752773	20278168	7755370	6	7	5	6	8	syntactic
4	anim-anim	athletes	by	chef	detests	acting	GDLS_plur_syntactic	The athletes by the chef detests acting.	1	4703106084	4726603	2470923	181255	38536231	2	8	4	7	6	syntactic
7	anim-anim	teachers	beside	lawyers	loves	fencing	GDLD_C_plur_syntactic	The teachers that the lawyers loves pray.	1	29718597	73279702	15702570	12028067	1887055	6	8	7	5	7	syntactic
1	inanim-anim	trucks	by	teachers	honk	once	GSLD_plur_semantic	The trucks by the teachers honk once.	0	4703106084	6808013	73279702	186601	267334111	2	6	8	4	4	semantic
7	inanim-inanim	vans	by	scooters	prefer	shopping	GDLD_plur_semantic	The vans by the scooters prefer shopping.	1	4703106084	963840	182717	20278168	11206466	2	4	8	6	8	semantic
9	inanim-anim	van	by	athlete	avoids	skating	GDLS_sing_semantic	The van by the athlete avoids skating.	1	4703106084	54213864	3419291	3608938	1784648	2	3	7	6	7	semantic
5	anim-anim	vet	beside	waiters	detest	knitting	GDLS_C_sing_syntactic	The vet that the waiters detest prays.	0	29718597	2597895	1363954	740903	2033048	6	3	7	6	8	syntactic
