	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
1449527	inanim-anim	jeeps	beside	actors	dislike	cycling	GDLS_plur_semantic	The jeeps beside the actors dislike cycling.	1	29718597	406341	18120032	6703610	2334761	6	5	6	7	7	semantic	0	0
1504899	anim-anim	barber	beside	nurse	brakes	suddenly	GDLD_sing_semantic	The barber beside the nurse brakes suddenly.	1	29718597	4668021	23875250	2506876	58025537	6	6	5	6	8	semantic	0	0
1475045	anim-anim	painter	near	farmer	crashes	noisily	GDLD_sing_semantic	The painter near the farmer crashes noisily.	1	154954539	13065194	20568429	1060077	807804	4	7	6	7	7	semantic	0	0
3502257	anim-anim	doctor	that	authors	hates	lies	GSLD_C_sing_syntactic	The doctor that the authors hates lies.	1	8000768228	52110730	42845288	2416713	48941300	4	6	7	5	4	syntactic	0	0
1332823	inanim-inanim	truck	by	van	smashes	suddenly	GSLS_sing_semantic	The truck by the van smashes suddenly.	0	4703106084	14274010	54213864	177467	58025537	2	5	3	7	8	semantic	0	0
3645986	anim-anim	farmer	near	bankers	likes	skating	GSLD_sing_syntactic	The farmer near the bankers likes skating.	0	154954539	20568429	6179440	9285296	1784648	4	6	7	5	7	syntactic	0	0
350625	anim-anim	painters	that	farmers	dislike	sit	GSLS_C_plur_syntactic	The painters that the farmers dislike sit.	0	8000768228	7084827	33753767	6703610	40245691	4	8	7	7	3	syntactic	0	0
5944177	anim-anim	nurses	that	teacher	loves	move	GDLS_C_plur_syntactic	The nurses that the teacher loves move.	0	8000768228	14176931	74147301	12028067	93962800	4	6	7	5	4	syntactic	0	0
6687857	anim-anim	vets	that	barber	knows	cough	GDLS_C_plur_syntactic	The vets that the barber knows cough.	0	8000768228	262330	4668021	50729807	5632779	4	4	6	5	5	syntactic	0	0
6783256	anim-anim	painter	by	chefs	like	yachting	GDLS_sing_syntactic	The painter by the chefs like yachting.	1	4703106084	13065194	752773	709849832	382785	2	7	5	4	8	syntactic	0	39
1381801	anim-inanim	author	beside	van	likes	fencing	GSLD_sing_semantic	The author beside the van likes fencing.	0	29718597	99092074	54213864	9285296	1887055	6	6	3	5	7	semantic	0	0
1267633	anim-anim	nurse	that	chef	loves	sneezes	GSLS_C_sing_syntactic	The nurse that the chef loves sneezes.	0	8000768228	23875250	2470923	12028067	134227	4	5	4	5	7	syntactic	0	0
525963	anim-anim	chefs	that	teachers	admire	pray	GSLS_C_plur_syntactic	The chefs that the teachers admire pray.	0	8000768228	752773	73279702	6461497	20289141	4	5	8	6	4	syntactic	0	0
1334035	inanim-inanim	trucks	near	cranes	smash	suddenly	GSLS_plur_semantic	The trucks near the cranes smash suddenly.	0	154954539	6808013	1511645	1655337	58025537	4	6	6	5	8	semantic	0	0
10036161	anim-anim	nurse	that	painter	hate	smiles	GDLD_C_sing_syntactic	The nurse that the painter hate smiles.	1	8000768228	23875250	13065194	16538862	5542164	4	5	7	4	6	syntactic	0	0
5728769	anim-anim	baker	that	farmers	dislike	smiles	GDLS_C_sing_syntactic	The baker that the farmers dislike smiles.	0	8000768228	13610150	33753767	6703610	5542164	4	5	7	7	6	syntactic	0	0
4873480	anim-anim	waiter	by	plumbers	knows	french	GSLD_sing_syntactic	The waiter by the plumbers knows French.	0	4703106084	3340926	543869	50729807	154091688	2	6	8	5	6	syntactic	0	0
9294566	anim-anim	athlete	beside	barber	dislike	sailing	GDLD_sing_syntactic	The athlete beside the barber dislike sailing.	1	29718597	3419291	4668021	6703610	8731451	6	7	6	7	7	syntactic	0	0
7338760	anim-anim	nurses	by	painter	loves	painting	GDLS_plur_syntactic	The nurses by the painter loves painting.	1	4703106084	14176931	13065194	12028067	32738623	2	6	7	5	8	syntactic	0	0
10345262	anim-anim	farmer	by	plumber	admire	honor	GDLD_sing_syntactic	The farmer by the plumber admire honor.	1	4703106084	20568429	734834	6461497	30299052	2	6	7	6	5	syntactic	0	0
1387560	anim-inanim	lawyer	beside	crane	dislikes	fishing	GSLD_sing_semantic	The lawyer beside the crane dislikes fishing.	0	29718597	21493788	5664326	1451937	21745307	6	6	5	8	7	semantic	0	0
7615636	anim-anim	nurse	by	plumbers	hate	cooking	GDLS_sing_syntactic	The nurse by the plumbers hate cooking.	1	4703106084	23875250	543869	16538862	13672366	2	5	8	4	7	syntactic	0	0
