	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
1460351	inanim-anim	cars	by	bankers	hate	driving	GDLS_plur_semantic	The cars by the bankers hate driving.	1	4703106084	24371897	6179440	16538862	25592961	2	4	7	4	7	semantic	0	0
1382409	anim-inanim	authors	beside	vans	hate	skating	GSLD_plur_semantic	The authors beside the vans hate skating.	0	29718597	42845288	963840	16538862	1784648	6	7	4	4	7	semantic	0	0
7668323	anim-anim	banker	that	plumbers	admire	runs	GDLS_C_sing_syntactic	The banker that the plumbers admire runs.	0	8000768228	5135467	543869	6461497	26702428	4	6	8	6	4	syntactic	0	0
5116446	anim-anim	pilot	by	waiters	hates	camping	GSLD_sing_syntactic	The pilot by the waiters hates camping.	0	4703106084	16262831	1363954	2416713	3430548	2	5	7	5	7	syntactic	0	0
1537034	inanim-inanim	tractors	by	taxis	like	dancing	GDLD_plur_semantic	The tractors by the taxis like dancing.	1	4703106084	1908544	1073931	709849832	15565681	2	8	5	4	7	semantic	0	0
1334150	inanim-inanim	jeeps	near	cranes	crash	abruptly	GSLS_plur_semantic	The jeeps near the cranes crash abruptly.	0	154954539	406341	1511645	6995312	7262021	4	5	6	5	8	semantic	0	0
1225344	anim-anim	lawyer	beside	chef	hates	climbing	GSLS_sing_syntactic	The lawyer beside the chef hates climbing.	0	29718597	21493788	2470923	2416713	7755370	6	6	4	5	8	syntactic	0	0
1485983	anim-anim	farmers	beside	authors	skid	suddenly	GDLD_plur_semantic	The farmers beside the authors skid suddenly.	1	29718597	33753767	42845288	816187	58025537	6	7	7	4	8	semantic	0	0
5288709	anim-anim	barber	that	vets	knows	studies	GSLD_C_sing_syntactic	The barber that the vets knows studies.	1	8000768228	4668021	262330	50729807	159772512	4	6	4	5	7	syntactic	0	0
5998932	anim-anim	vet	by	teachers	admire	honesty	GDLS_sing_syntactic	The vet by the teachers admire honesty.	1	4703106084	2597895	73279702	6461497	7341751	2	3	8	6	7	syntactic	0	0
3046098	anim-anim	waiters	near	farmer	dislike	fencing	GSLD_plur_syntactic	The waiters near the farmer dislike fencing.	0	154954539	1363954	20568429	6703610	1887055	4	7	6	7	7	syntactic	0	0
1035521	anim-anim	waiters	that	bankers	like	cough	GSLS_C_plur_syntactic	The waiters that the bankers like cough.	0	8000768228	1363954	6179440	709849832	5632779	4	7	7	4	5	syntactic	0	0
10470082	anim-anim	doctors	beside	tailors	knows	spanish	GDLD_plur_syntactic	The doctors beside the tailors knows Spanish.	1	29718597	19521968	1121681	50729807	51657368	6	7	7	5	7	syntactic	0	0
5534474	anim-anim	pilot	beside	bakers	love	boxing	GDLS_sing_syntactic	The pilot beside the bakers love boxing.	1	29718597	16262831	997597	210137973	2262574	6	5	6	4	6	syntactic	0	0
1504058	anim-anim	doctor	by	nurse	smashes	abruptly	GDLD_sing_semantic	The doctor by the nurse smashes abruptly.	1	4703106084	52110730	23875250	177467	7262021	2	6	5	7	8	semantic	0	0
8850276	anim-anim	pilot	near	lawyer	dislike	cooking	GDLD_sing_syntactic	The pilot near the lawyer dislike cooking.	1	154954539	16262831	21493788	6703610	13672366	4	5	6	7	7	syntactic	0	0
1330917	inanim-inanim	van	near	tractor	brakes	noisily	GSLS_sing_semantic	The van near the tractor brakes noisily.	0	154954539	54213864	3282135	2506876	807804	4	3	7	6	7	semantic	0	0
9688083	anim-anim	plumber	that	dentist	admire	turns	GDLD_C_sing_syntactic	The plumber that the dentist admire turns.	1	8000768228	734834	3198534	6461497	29719923	4	7	7	6	5	syntactic	0	0
1352419	anim-inanim	lawyer	near	truck	likes	sailing	GSLD_sing_semantic	The lawyer near the truck likes sailing.	0	154954539	21493788	14274010	9285296	8731451	4	6	5	5	7	semantic	0	0
1068849	anim-anim	baker	that	barber	dislikes	cries	GSLS_C_sing_syntactic	The baker that the barber dislikes cries.	0	8000768228	13610150	4668021	1451937	9051102	4	5	6	8	5	syntactic	0	0
8256017	anim-anim	teachers	that	bakers	dislikes	study	GDLD_C_plur_syntactic	The teachers that the bakers dislikes study.	1	8000768228	73279702	997597	1451937	251146114	4	8	6	8	5	syntactic	0	0
53521	anim-anim	barbers	that	bakers	love	study	GSLS_C_plur_syntactic	The barbers that the bakers love study.	0	8000768228	607437	997597	210137973	251146114	4	7	6	4	5	syntactic	0	0
4170665	anim-anim	teacher	that	dentists	knows	leaves	GSLD_C_sing_syntactic	The teacher that the dentists knows leaves.	1	8000768228	74147301	1487700	50729807	59706459	4	7	8	5	6	syntactic	50	0
8562961	anim-anim	dentists	that	farmers	hates	pray	GDLD_C_plur_syntactic	The dentists that the farmers hates pray.	1	8000768228	1487700	33753767	2416713	20289141	4	8	7	5	4	syntactic	0	0
7035473	anim-anim	barbers	that	judge	loves	run	GDLS_C_plur_syntactic	The barbers that the judge loves run.	0	8000768228	607437	63704000	12028067	109873076	4	7	5	5	3	syntactic	0	0
1464789	inanim-anim	scooters	beside	bankers	love	hunting	GDLS_plur_semantic	The scooters beside the bankers love hunting.	1	29718597	182717	6179440	210137973	19801295	6	8	7	4	7	semantic	0	0
1855424	anim-anim	vets	near	painters	admire	honor	GSLS_plur_syntactic	The vets near the painters admire honor.	0	154954539	262330	7084827	6461497	30299052	4	4	8	6	5	syntactic	0	0
2193182	anim-anim	dentists	near	tailors	hate	driving	GSLS_plur_syntactic	The dentists near the tailors hate driving.	0	154954539	1487700	1121681	16538862	25592961	4	8	7	4	7	syntactic	0	0
9463792	anim-anim	actor	by	chef	dislike	climbing	GDLD_sing_syntactic	The actor by the chef dislike climbing.	1	4703106084	14665285	2470923	6703610	7755370	2	5	4	7	8	syntactic	0	0
5192289	anim-anim	teachers	that	vet	dislike	laugh	GSLD_C_plur_syntactic	The teachers that the vet dislike laugh.	1	8000768228	73279702	2597895	6703610	18161896	4	8	3	7	5	syntactic	0	0
1456153	inanim-anim	jeep	near	author	dislikes	skating	GDLS_sing_semantic	The jeep near the author dislikes skating.	1	154954539	2009598	99092074	1451937	1784648	4	4	6	8	7	semantic	0	0
840145	anim-anim	banker	that	author	hates	runs	GSLS_C_sing_syntactic	The banker that the author hates runs.	0	8000768228	5135467	99092074	2416713	26702428	4	6	6	5	4	syntactic	0	0
1331779	inanim-inanim	jeep	near	scooter	brakes	suddenly	GSLS_sing_semantic	The jeep near the scooter brakes suddenly.	0	154954539	2009598	405037	2506876	58025537	4	4	7	6	8	semantic	0	0
4963882	anim-anim	nurse	by	tailors	loves	hunting	GSLD_sing_syntactic	The nurse by the tailors loves hunting.	0	4703106084	23875250	1121681	12028067	19801295	2	5	7	5	7	syntactic	0	0
1327827	inanim-inanim	tractors	by	trucks	honk	once	GSLS_plur_semantic	The tractors by the trucks honk once.	0	4703106084	1908544	6808013	186601	267334111	2	8	6	4	4	semantic	0	0
5171598	anim-anim	bakers	near	vet	like	driving	GSLD_plur_syntactic	The bakers near the vet like driving.	0	154954539	997597	2597895	709849832	25592961	4	6	3	4	7	syntactic	0	0
