	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
8515208	anim-anim	teacher	beside	farmer	like	painting	GDLD_sing_syntactic	The teacher beside the farmer like painting.	1	29718597	74147301	20568429	709849832	32738623	6	7	6	4	8	syntactic	31	0
10411281	anim-anim	barbers	that	tailors	likes	study	GDLD_C_plur_syntactic	The barbers that the tailors likes study.	1	8000768228	607437	1121681	9285296	251146114	4	7	7	5	5	syntactic	0	0
6854810	anim-anim	doctors	by	dentist	dislikes	hunting	GDLS_plur_syntactic	The doctors by the dentist dislikes hunting.	1	4703106084	19521968	3198534	1451937	19801295	2	7	7	8	7	syntactic	0	0
6823120	anim-anim	bankers	near	chef	knows	arabic	GDLS_plur_syntactic	The bankers near the chef knows Arabic.	1	154954539	6179440	2470923	50729807	9338211	4	7	4	5	6	syntactic	0	0
9008946	anim-anim	vets	near	actors	loves	fencing	GDLD_plur_syntactic	The vets near the actors loves fencing.	1	154954539	262330	18120032	12028067	1887055	4	4	6	5	7	syntactic	0	0
10705745	anim-anim	painter	that	vet	hate	turns	GDLD_C_sing_syntactic	The painter that the vet hate turns.	1	8000768228	13065194	2597895	16538862	29719923	4	7	3	4	5	syntactic	0	0
1333153	inanim-inanim	scooter	beside	van	brakes	noisily	GSLS_sing_semantic	The scooter beside the van brakes noisily.	0	29718597	405037	54213864	2506876	807804	6	7	3	6	7	semantic	0	0
1336272	anim-inanim	doctor	near	bus	loves	farming	GSLD_sing_semantic	The doctor near the bus loves farming.	0	154954539	52110730	19370874	12028067	15602571	4	6	3	5	7	semantic	0	0
1527938	inanim-inanim	cars	by	buses	love	cooking	GDLD_plur_semantic	The cars by the buses love cooking.	1	4703106084	24371897	4213326	210137973	13672366	2	4	5	4	7	semantic	0	0
3223064	anim-anim	doctor	by	lawyers	hates	yachting	GSLD_sing_syntactic	The doctor by the lawyers hates yachting.	0	4703106084	52110730	15702570	2416713	382785	2	6	7	5	8	syntactic	0	0
6419056	anim-anim	athlete	by	bankers	love	fishing	GDLS_sing_syntactic	The athlete by the bankers love fishing.	1	4703106084	3419291	6179440	210137973	21745307	2	7	7	4	7	syntactic	0	0
1361995	anim-inanim	authors	by	jeeps	know	russian	GSLD_plur_semantic	The authors by the jeeps know Russian.	0	4703106084	42845288	406341	405542218	53427209	2	7	5	4	7	semantic	0	0
730401	anim-anim	judge	that	actor	likes	laughs	GSLS_C_sing_syntactic	The judge that the actor likes laughs.	0	8000768228	63704000	14665285	9285296	2942362	4	5	5	5	6	syntactic	0	0
4335441	anim-anim	bakers	that	nurse	love	run	GSLD_C_plur_syntactic	The bakers that the nurse love run.	1	8000768228	997597	23875250	210137973	109873076	4	6	5	4	3	syntactic	0	0
905761	anim-anim	waiters	that	authors	dislike	leave	GSLS_C_plur_syntactic	The waiters that the authors dislike leave.	0	8000768228	1363954	42845288	6703610	111442661	4	7	7	7	5	syntactic	0	0
599480	anim-anim	judge	by	lawyer	hates	yachting	GSLS_sing_syntactic	The judge by the lawyer hates yachting.	0	4703106084	63704000	21493788	2416713	382785	2	5	6	5	8	syntactic	0	0
1392147	inanim-anim	buses	beside	doctors	smash	suddenly	GSLD_plur_semantic	The buses beside the doctors smash suddenly.	0	29718597	4213326	19521968	1655337	58025537	6	5	7	5	8	semantic	0	0
4606464	anim-anim	athlete	beside	pilots	dislikes	climbing	GSLD_sing_syntactic	The athlete beside the pilots dislikes climbing.	0	29718597	3419291	5455700	1451937	7755370	6	7	6	8	8	syntactic	0	0
7642801	anim-anim	tailors	that	plumber	loves	lie	GDLS_C_plur_syntactic	The tailors that the plumber loves lie.	0	8000768228	1121681	734834	12028067	44672168	4	7	7	5	3	syntactic	0	0
1552361	inanim-inanim	cars	beside	tractors	love	fencing	GDLD_plur_semantic	The cars beside the tractors love fencing.	1	29718597	24371897	1908544	210137973	1887055	6	4	8	4	7	semantic	0	0
1348500	anim-anim	farmers	by	dentists	hate	gambling	GSLS_plur_syntactic	The farmers by the dentists hate gambling.	0	4703106084	33753767	1487700	16538862	6130169	2	7	8	4	8	syntactic	0	0
1405877	anim-inanim	teachers	beside	tractors	honk	noisily	GDLS_plur_semantic	The teachers beside the tractors honk noisily.	1	29718597	73279702	1908544	186601	807804	6	8	8	4	7	semantic	0	0
8784417	anim-anim	farmers	that	lawyers	loves	sit	GDLD_C_plur_syntactic	The farmers that the lawyers loves sit.	1	8000768228	33753767	15702570	12028067	40245691	4	7	7	5	3	syntactic	0	0
5994601	anim-anim	barber	that	teachers	admire	arrives	GDLS_C_sing_syntactic	The barber that the teachers admire arrives.	0	8000768228	4668021	73279702	6461497	6366129	4	6	8	6	7	syntactic	0	0
1415351	inanim-anim	tractors	beside	bakers	hate	camping	GDLS_plur_semantic	The tractors beside the bakers hate camping.	1	29718597	1908544	997597	16538862	3430548	6	8	6	4	7	semantic	0	0
8997722	anim-anim	tailors	by	actors	hates	boxing	GDLD_plur_syntactic	The tailors by the actors hates boxing.	1	4703106084	1121681	18120032	2416713	2262574	2	7	6	5	6	syntactic	0	0
3651857	anim-anim	farmers	that	banker	dislike	study	GSLD_C_plur_syntactic	The farmers that the banker dislike study.	1	8000768228	33753767	5135467	6703610	251146114	4	7	6	7	5	syntactic	0	0
1972750	anim-anim	baker	beside	pilot	knows	spanish	GSLS_sing_syntactic	The baker beside the pilot knows Spanish.	0	29718597	13610150	16262831	50729807	51657368	6	5	5	5	7	syntactic	0	0
1541838	anim-anim	painters	by	judges	love	driving	GSLS_plur_syntactic	The painters by the judges love driving.	0	4703106084	7084827	24677643	210137973	25592961	2	8	6	4	7	syntactic	0	0
1510209	anim-anim	farmer	near	pilot	brakes	noisily	GDLD_sing_semantic	The farmer near the pilot brakes noisily.	1	154954539	20568429	16262831	2506876	807804	4	6	5	6	7	semantic	0	0
659627	anim-anim	nurse	that	lawyer	admires	prays	GSLS_C_sing_syntactic	The nurse that the lawyer admires prays.	0	8000768228	23875250	21493788	929819	1506735	4	5	6	7	5	syntactic	0	0
3996452	anim-anim	painters	by	chef	love	dancing	GSLD_plur_syntactic	The painters by the chef love dancing.	0	4703106084	7084827	2470923	210137973	15565681	2	8	4	4	7	syntactic	0	0
1497351	anim-anim	barber	near	dentist	honks	once	GDLD_sing_semantic	The barber near the dentist honks once.	1	154954539	4668021	3198534	0	267334111	4	6	7	5	4	semantic	0	0
9323185	anim-anim	lawyer	that	barber	like	lies	GDLD_C_sing_syntactic	The lawyer that the barber like lies.	1	8000768228	21493788	4668021	709849832	48941300	4	6	6	4	4	syntactic	34	0
1329377	inanim-inanim	taxis	beside	jeeps	crash	noisily	GSLS_plur_semantic	The taxis beside the jeeps crash noisily.	0	29718597	1073931	406341	6995312	807804	6	5	5	5	7	semantic	0	0
4450305	anim-anim	actor	that	nurses	knows	smiles	GSLD_C_sing_syntactic	The actor that the nurses knows smiles.	1	8000768228	14665285	14176931	50729807	5542164	4	5	6	5	6	syntactic	0	0
3125313	anim-anim	barber	that	teachers	likes	arrives	GSLD_C_sing_syntactic	The barber that the teachers likes arrives.	1	8000768228	4668021	73279702	9285296	6366129	4	6	8	5	7	syntactic	0	0
8680190	anim-anim	barber	near	teacher	hate	driving	GDLD_sing_syntactic	The barber near the teacher hate driving.	1	154954539	4668021	74147301	16538862	25592961	4	6	7	4	7	syntactic	0	0
3165632	anim-anim	pilots	near	teacher	love	climbing	GSLD_plur_syntactic	The pilots near the teacher love climbing.	0	154954539	5455700	74147301	210137973	7755370	4	6	7	4	8	syntactic	0	0
344721	anim-anim	nurses	that	farmers	dislike	study	GSLS_C_plur_syntactic	The nurses that the farmers dislike study.	0	8000768228	14176931	33753767	6703610	251146114	4	6	7	7	5	syntactic	0	0
1332867	inanim-inanim	trucks	by	vans	crash	suddenly	GSLS_plur_semantic	The trucks by the vans crash suddenly.	0	4703106084	6808013	963840	6995312	58025537	2	6	4	5	8	semantic	0	0
1368857	anim-inanim	lawyer	beside	tractor	knows	russian	GSLD_sing_semantic	The lawyer beside the tractor knows Russian.	0	29718597	21493788	3282135	50729807	53427209	6	6	7	5	7	semantic	24	0
1465293	inanim-anim	van	near	banker	hates	hunting	GDLS_sing_semantic	The van near the banker hates hunting.	1	154954539	54213864	5135467	2416713	19801295	4	3	6	5	7	semantic	0	0
1332787	inanim-inanim	truck	near	van	skids	suddenly	GSLS_sing_semantic	The truck near the van skids suddenly.	0	154954539	14274010	54213864	250523	58025537	4	5	3	5	8	semantic	0	0
1410344	anim-inanim	teacher	by	crane	brakes	loudly	GDLS_sing_semantic	The teacher by the crane brakes loudly.	1	4703106084	74147301	5664326	2506876	5998778	2	7	5	6	6	semantic	0	0
6681965	anim-anim	teacher	that	barbers	know	lies	GDLS_C_sing_syntactic	The teacher that the barbers know lies.	0	8000768228	74147301	607437	405542218	48941300	4	7	7	4	4	syntactic	0	0
5485830	anim-anim	author	by	bakers	hate	shopping	GDLS_sing_syntactic	The author by the bakers hate shopping.	1	4703106084	99092074	997597	16538862	11206466	2	6	6	4	8	syntactic	0	0
7520885	anim-anim	bankers	that	pilot	knows	turn	GDLS_C_plur_syntactic	The bankers that the pilot knows turn.	0	8000768228	6179440	16262831	50729807	134505772	4	7	5	5	4	syntactic	0	0
