	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
311217	anim-anim	bankers	that	farmers	like	cry	GSLS_C_plur_syntactic	The bankers that the farmers like cry.	0	8000768228	6179440	33753767	709849832	24708519	4	7	7	4	3	syntactic	0	101
1328867	inanim-inanim	taxi	by	jeep	honks	once	GSLS_sing_semantic	The taxi by the jeep honks once.	0	4703106084	4478068	2009598	0	267334111	2	4	4	5	4	semantic	0	0
1370512	anim-inanim	baker	beside	scooter	dislikes	fishing	GSLD_sing_semantic	The baker beside the scooter dislikes fishing.	0	29718597	13610150	405037	1451937	21745307	6	5	7	8	7	semantic	0	0
8621207	anim-anim	athletes	that	farmers	admires	move	GDLD_C_plur_syntactic	The athletes that the farmers admires move.	1	8000768228	4726603	33753767	929819	93962800	4	8	7	7	4	syntactic	0	0
1225921	anim-anim	lawyer	that	chef	dislikes	smiles	GSLS_C_sing_syntactic	The lawyer that the chef dislikes smiles.	0	8000768228	21493788	2470923	1451937	5542164	4	6	4	8	6	syntactic	0	0
5148193	anim-anim	actors	that	waiter	know	swim	GSLD_C_plur_syntactic	The actors that the waiter know swim.	1	8000768228	18120032	3340926	405542218	6237963	4	6	6	4	4	syntactic	0	0
1448763	inanim-anim	trucks	near	actors	dislike	knitting	GDLS_plur_semantic	The trucks near the actors dislike knitting.	1	154954539	6808013	18120032	6703610	2033048	4	6	6	7	8	semantic	0	0
8284698	anim-anim	barbers	beside	bakers	loves	boxing	GDLD_plur_syntactic	The barbers beside the bakers loves boxing.	1	29718597	607437	997597	12028067	2262574	6	7	6	5	6	syntactic	0	0
4735785	anim-anim	doctor	that	pilots	admires	arrives	GSLD_C_sing_syntactic	The doctor that the pilots admires arrives.	1	8000768228	52110730	5455700	929819	6366129	4	6	6	7	7	syntactic	0	0
1747080	anim-anim	farmers	near	painters	dislike	painting	GSLS_plur_syntactic	The farmers near the painters dislike painting.	0	154954539	33753767	7084827	6703610	32738623	4	7	8	7	8	syntactic	0	0
7020622	anim-anim	author	near	judges	hate	camping	GDLS_sing_syntactic	The author near the judges hate camping.	1	154954539	99092074	24677643	16538862	3430548	4	6	6	4	7	syntactic	0	0
