	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
0	anim-anim	barber	by	nurse	dislikes	cooking	GSLS_sing_semantic	The barber by the nurse dislikes cooking.	0	4703106084	4668021	23875250	1451937	13672366	2	6	5	8	7	semantic
9	anim-inanim	builder	beside	scooter	leaks	abruptly	GDLS_sing_semantic	The builder beside the scooter leaks abruptly.	1	29718597	4915470	405037	1935324	7262021	6	7	7	5	8	semantic
0	anim-anim	bakers	by	waiters	prefers	climbing	GDLD_C_plur_syntactic	The bakers that the waiters prefers die.	1	4703106084	997597	1363954	4149558	7755370	2	6	7	7	8	syntactic
8	anim-anim	plumber	beside	tailor	leaks	suddenly	GDLD_sing_semantic	The plumber beside the tailor leaks suddenly.	1	29718597	734834	3371396	1935324	58025537	6	7	6	5	8	semantic
7	anim-anim	bankers	near	builders	loves	gambling	GDLD_plur_syntactic	The bankers near the builders loves gambling.	1	154954539	6179440	5454568	12028067	6130169	4	7	8	5	8	syntactic
5	inanim-inanim	car	by	tractor	loves	climbing	GDLD_sing_semantic	The car by the tractor loves climbing.	1	4703106084	71566944	3282135	12028067	7755370	2	3	7	5	8	semantic
1	inanim-inanim	tractors	near	vans	love	driving	GDLD_plur_semantic	The tractors near the vans love driving.	1	154954539	1908544	963840	210137973	25592961	4	8	4	4	7	semantic
3	anim-anim	doctor	by	farmer	dislike	bowling	GDLD_sing_syntactic	The doctor by the farmer dislike bowling.	1	4703106084	52110730	20568429	6703610	2476732	2	6	6	7	7	syntactic
4	anim-anim	banker	by	farmers	love	yachting	GDLS_sing_syntactic	The banker by the farmers love yachting.	1	4703106084	5135467	33753767	210137973	382785	2	6	7	4	8	syntactic
8	anim-anim	chefs	by	lawyer	fears	dancing	GDLS_plur_syntactic	The chefs by the lawyer fears dancing.	1	4703106084	752773	21493788	17721106	15565681	2	5	6	5	7	syntactic
5	inanim-anim	truck	near	dentist	loves	yachting	GDLS_sing_semantic	The truck near the dentist loves yachting.	1	154954539	14274010	3198534	12028067	382785	4	5	7	5	8	semantic
1	anim-anim	doctors	by	chef	dislike	sailing	GSLD_C_plur_syntactic	The doctors that the chef dislike pray.	1	4703106084	19521968	2470923	6703610	8731451	2	7	4	7	7	syntactic
